年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
110年5月,萬華區,計,1423,756,667
110年5月,萬華區,男,604,325,279
110年5月,萬華區,女,819,431,388
110年5月,文山區,計,2208,1185,1023
110年5月,文山區,男,971,522,449
110年5月,文山區,女,1237,663,574
110年5月,南港區,計,1492,1034,458
110年5月,南港區,男,660,470,190
110年5月,南港區,女,832,564,268
110年5月,內湖區,計,2426,1612,814
110年5月,內湖區,男,1035,710,325
110年5月,內湖區,女,1391,902,489
110年5月,士林區,計,1690,972,718
110年5月,士林區,男,709,417,292
110年5月,士林區,女,981,555,426
110年5月,北投區,計,1667,987,680
110年5月,北投區,男,714,439,275
110年5月,北投區,女,953,548,405
110年6月,總計,計,17042,9924,7118
110年6月,總計,男,7252,4346,2906
110年6月,總計,女,9790,5578,4212
110年6月,松山區,計,951,529,422
110年6月,松山區,男,391,218,173
110年6月,松山區,女,560,311,249
110年6月,信義區,計,1114,613,501
110年6月,信義區,男,447,253,194
110年6月,信義區,女,667,360,307
110年6月,大安區,計,1143,606,537
110年6月,大安區,男,482,273,209
110年6月,大安區,女,661,333,328
110年6月,中山區,計,1408,778,630
110年6月,中山區,男,554,327,227
110年6月,中山區,女,854,451,403
110年6月,中正區,計,762,439,323
110年6月,中正區,男,348,209,139
110年6月,中正區,女,414,230,184
110年6月,大同區,計,764,418,346
110年6月,大同區,男,340,182,158
110年6月,大同區,女,424,236,188
110年6月,萬華區,計,1428,758,670
110年6月,萬華區,男,607,327,280
110年6月,萬華區,女,821,431,390
110年6月,文山區,計,2201,1184,1017
110年6月,文山區,男,968,524,444
110年6月,文山區,女,1233,660,573
110年6月,南港區,計,1486,1028,458
110年6月,南港區,男,655,466,189
110年6月,南港區,女,831,562,269
110年6月,內湖區,計,2424,1609,815
110年6月,內湖區,男,1036,709,327
110年6月,內湖區,女,1388,900,488
110年6月,士林區,計,1681,965,716
110年6月,士林區,男,705,414,291
110年6月,士林區,女,976,551,425
110年6月,北投區,計,1680,997,683
110年6月,北投區,男,719,444,275
110年6月,北投區,女,961,553,408
110年7月,總計,計,17044,9912,7132
110年7月,總計,男,7256,4343,2913
110年7月,總計,女,9788,5569,4219
110年7月,松山區,計,945,526,419
110年7月,松山區,男,389,218,171
110年7月,松山區,女,556,308,248
110年7月,信義區,計,1107,609,498
110年7月,信義區,男,443,252,191
110年7月,信義區,女,664,357,307
110年7月,大安區,計,1145,610,535
110年7月,大安區,男,484,274,210
110年7月,大安區,女,661,336,325
110年7月,中山區,計,1404,767,637
110年7月,中山區,男,553,323,230
110年7月,中山區,女,851,444,407
110年7月,中正區,計,763,437,326
110年7月,中正區,男,348,209,139
110年7月,中正區,女,415,228,187
110年7月,大同區,計,763,415,348
110年7月,大同區,男,341,182,159
110年7月,大同區,女,422,233,189
110年7月,萬華區,計,1425,757,668
110年7月,萬華區,男,609,327,282
110年7月,萬華區,女,816,430,386
110年7月,文山區,計,2200,1184,1016
110年7月,文山區,男,964,520,444
110年7月,文山區,女,1236,664,572
110年7月,南港區,計,1489,1030,459
110年7月,南港區,男,657,468,189
110年7月,南港區,女,832,562,270
110年7月,內湖區,計,2431,1611,820
110年7月,內湖區,男,1037,707,330
110年7月,內湖區,女,1394,904,490
110年7月,士林區,計,1692,967,725
110年7月,士林區,男,710,417,293
110年7月,士林區,女,982,550,432
110年7月,北投區,計,1680,999,681
110年7月,北投區,男,721,446,275
110年7月,北投區,女,959,553,406
110年8月,總計,計,17055,9919,7136
110年8月,總計,男,7273,4351,2922
110年8月,總計,女,9782,5568,4214
110年8月,松山區,計,936,523,413
110年8月,松山區,男,387,217,170
110年8月,松山區,女,549,306,243
110年8月,信義區,計,1121,614,507
110年8月,信義區,男,452,256,196
110年8月,信義區,女,669,358,311
110年8月,大安區,計,1145,609,536
110年8月,大安區,男,482,271,211
110年8月,大安區,女,663,338,325
110年8月,中山區,計,1406,765,641
110年8月,中山區,男,554,323,231
110年8月,中山區,女,852,442,410
110年8月,中正區,計,765,441,324
110年8月,中正區,男,345,208,137
110年8月,中正區,女,420,233,187
110年8月,大同區,計,761,410,351
110年8月,大同區,男,345,183,162
110年8月,大同區,女,416,227,189
110年8月,萬華區,計,1415,752,663
110年8月,萬華區,男,602,324,278
110年8月,萬華區,女,813,428,385
110年8月,文山區,計,2199,1188,1011
110年8月,文山區,男,963,520,443
110年8月,文山區,女,1236,668,568
110年8月,南港區,計,1497,1042,455
110年8月,南港區,男,661,473,188
110年8月,南港區,女,836,569,267
110年8月,內湖區,計,2430,1604,826
110年8月,內湖區,男,1039,704,335
110年8月,內湖區,女,1391,900,491
110年8月,士林區,計,1698,970,728
110年8月,士林區,男,718,423,295
110年8月,士林區,女,980,547,433
110年8月,北投區,計,1682,1001,681
110年8月,北投區,男,725,449,276
110年8月,北投區,女,957,552,405
110年9月,總計,計,17054,9917,7137
110年9月,總計,男,7276,4357,2919
110年9月,總計,女,9778,5560,4218
110年9月,松山區,計,937,520,417
110年9月,松山區,男,388,217,171
110年9月,松山區,女,549,303,246
110年9月,信義區,計,1107,605,502
110年9月,信義區,男,444,249,195
110年9月,信義區,女,663,356,307
110年9月,大安區,計,1137,605,532
110年9月,大安區,男,482,272,210
110年9月,大安區,女,655,333,322
110年9月,中山區,計,1394,761,633
110年9月,中山區,男,545,318,227
110年9月,中山區,女,849,443,406
110年9月,中正區,計,767,442,325
110年9月,中正區,男,349,212,137
110年9月,中正區,女,418,230,188
110年9月,大同區,計,770,415,355
110年9月,大同區,男,347,187,160
110年9月,大同區,女,423,228,195
110年9月,萬華區,計,1406,748,658
110年9月,萬華區,男,599,324,275
110年9月,萬華區,女,807,424,383
110年9月,文山區,計,2199,1184,1015
110年9月,文山區,男,964,520,444
110年9月,文山區,女,1235,664,571
110年9月,南港區,計,1498,1041,457
110年9月,南港區,男,661,472,189
110年9月,南港區,女,837,569,268
110年9月,內湖區,計,2444,1616,828
110年9月,內湖區,男,1043,707,336
110年9月,內湖區,女,1401,909,492
110年9月,士林區,計,1705,977,728
110年9月,士林區,男,722,426,296
110年9月,士林區,女,983,551,432
110年9月,北投區,計,1690,1003,687
110年9月,北投區,男,732,453,279
110年9月,北投區,女,958,550,408
110年10月,總計,計,17049,9908,7141
110年10月,總計,男,7280,4357,2923
110年10月,總計,女,9769,5551,4218
110年10月,松山區,計,939,521,418
110年10月,松山區,男,389,218,171
110年10月,松山區,女,550,303,247
110年10月,信義區,計,1111,610,501
110年10月,信義區,男,447,251,196
110年10月,信義區,女,664,359,305
110年10月,大安區,計,1130,601,529
110年10月,大安區,男,478,267,211
110年10月,大安區,女,652,334,318
110年10月,中山區,計,1392,760,632
110年10月,中山區,男,546,319,227
110年10月,中山區,女,846,441,405
110年10月,中正區,計,774,446,328
110年10月,中正區,男,350,213,137
110年10月,中正區,女,424,233,191
110年10月,大同區,計,769,414,355
110年10月,大同區,男,347,187,160
110年10月,大同區,女,422,227,195
110年10月,萬華區,計,1393,738,655
110年10月,萬華區,男,593,319,274
110年10月,萬華區,女,800,419,381
110年10月,文山區,計,2196,1179,1017
110年10月,文山區,男,965,518,447
110年10月,文山區,女,1231,661,570
110年10月,南港區,計,1502,1047,455
110年10月,南港區,男,663,475,188
110年10月,南港區,女,839,572,267
110年10月,內湖區,計,2448,1617,831
110年10月,內湖區,男,1048,712,336
110年10月,內湖區,女,1400,905,495
110年10月,士林區,計,1706,973,733
110年10月,士林區,男,727,427,300
110年10月,士林區,女,979,546,433
110年10月,北投區,計,1689,1002,687
110年10月,北投區,男,727,451,276
110年10月,北投區,女,962,551,411
110年11月,總計,計,17061,9919,7142
110年11月,總計,男,7302,4373,2929
110年11月,總計,女,9759,5546,4213
110年11月,松山區,計,943,525,418
110年11月,松山區,男,394,222,172
110年11月,松山區,女,549,303,246
110年11月,信義區,計,1113,611,502
110年11月,信義區,男,451,254,197
110年11月,信義區,女,662,357,305
110年11月,大安區,計,1133,604,529
110年11月,大安區,男,478,267,211
110年11月,大安區,女,655,337,318
110年11月,中山區,計,1398,762,636
110年11月,中山區,男,550,323,227
110年11月,中山區,女,848,439,409
110年11月,中正區,計,778,448,330
110年11月,中正區,男,353,214,139
110年11月,中正區,女,425,234,191
110年11月,大同區,計,766,412,354
110年11月,大同區,男,349,189,160
110年11月,大同區,女,417,223,194
110年11月,萬華區,計,1392,739,653
110年11月,萬華區,男,594,321,273
110年11月,萬華區,女,798,418,380
110年11月,文山區,計,2195,1181,1014
110年11月,文山區,男,966,519,447
110年11月,文山區,女,1229,662,567
110年11月,南港區,計,1489,1036,453
110年11月,南港區,男,658,470,188
110年11月,南港區,女,831,566,265
110年11月,內湖區,計,2452,1621,831
110年11月,內湖區,男,1048,713,335
110年11月,內湖區,女,1404,908,496
110年11月,士林區,計,1713,976,737
110年11月,士林區,男,733,429,304
110年11月,士林區,女,980,547,433
110年11月,北投區,計,1689,1004,685
110年11月,北投區,男,728,452,276
110年11月,北投區,女,961,552,409
110年12月,總計,計,17073,9934,7139
110年12月,總計,男,7311,4383,2928
110年12月,總計,女,9762,5551,4211
110年12月,松山區,計,946,525,421
110年12月,松山區,男,391,221,170
