年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
109年4月,士林區,男,679,392,287
109年4月,士林區,女,975,549,426
109年4月,北投區,計,1656,981,675
109年4月,北投區,男,701,437,264
109年4月,北投區,女,955,544,411
109年5月,總計,計,17124,9999,7125
109年5月,總計,男,7248,4362,2886
109年5月,總計,女,9876,5637,4239
109年5月,松山區,計,957,539,418
109年5月,松山區,男,397,225,172
109年5月,松山區,女,560,314,246
109年5月,信義區,計,1122,618,504
109年5月,信義區,男,449,256,193
109年5月,信義區,女,673,362,311
109年5月,大安區,計,1147,619,528
109年5月,大安區,男,472,273,199
109年5月,大安區,女,675,346,329
109年5月,中山區,計,1445,797,648
109年5月,中山區,男,575,333,242
109年5月,中山區,女,870,464,406
109年5月,中正區,計,730,437,293
109年5月,中正區,男,342,214,128
109年5月,中正區,女,388,223,165
109年5月,大同區,計,737,413,324
109年5月,大同區,男,308,163,145
109年5月,大同區,女,429,250,179
109年5月,萬華區,計,1457,759,698
109年5月,萬華區,男,619,325,294
109年5月,萬華區,女,838,434,404
109年5月,文山區,計,2237,1204,1033
109年5月,文山區,男,964,529,435
109年5月,文山區,女,1273,675,598
109年5月,南港區,計,1506,1050,456
109年5月,南港區,男,673,485,188
109年5月,南港區,女,833,565,268
109年5月,內湖區,計,2473,1645,828
109年5月,內湖區,男,1060,728,332
109年5月,內湖區,女,1413,917,496
109年5月,士林區,計,1664,948,716
109年5月,士林區,男,687,397,290
109年5月,士林區,女,977,551,426
109年5月,北投區,計,1649,970,679
109年5月,北投區,男,702,434,268
109年5月,北投區,女,947,536,411
109年6月,總計,計,17133,9991,7142
109年6月,總計,男,7262,4359,2903
109年6月,總計,女,9871,5632,4239
109年6月,松山區,計,955,539,416
109年6月,松山區,男,396,225,171
109年6月,松山區,女,559,314,245
109年6月,信義區,計,1124,620,504
109年6月,信義區,男,454,259,195
109年6月,信義區,女,670,361,309
109年6月,大安區,計,1146,616,530
109年6月,大安區,男,474,273,201
109年6月,大安區,女,672,343,329
109年6月,中山區,計,1438,790,648
109年6月,中山區,男,572,331,241
109年6月,中山區,女,866,459,407
109年6月,中正區,計,738,439,299
109年6月,中正區,男,343,214,129
109年6月,中正區,女,395,225,170
109年6月,大同區,計,742,415,327
109年6月,大同區,男,310,163,147
109年6月,大同區,女,432,252,180
109年6月,萬華區,計,1454,759,695
109年6月,萬華區,男,622,328,294
109年6月,萬華區,女,832,431,401
109年6月,文山區,計,2230,1202,1028
109年6月,文山區,男,962,527,435
109年6月,文山區,女,1268,675,593
109年6月,南港區,計,1510,1047,463
109年6月,南港區,男,673,480,193
109年6月,南港區,女,837,567,270
109年6月,內湖區,計,2465,1637,828
109年6月,內湖區,男,1059,725,334
109年6月,內湖區,女,1406,912,494
109年6月,士林區,計,1676,954,722
109年6月,士林區,男,694,399,295
109年6月,士林區,女,982,555,427
109年6月,北投區,計,1655,973,682
109年6月,北投區,男,703,435,268
109年6月,北投區,女,952,538,414
109年7月,總計,計,17141,9992,7149
109年7月,總計,男,7274,4365,2909
109年7月,總計,女,9867,5627,4240
109年7月,松山區,計,952,538,414
109年7月,松山區,男,394,224,170
109年7月,松山區,女,558,314,244
109年7月,信義區,計,1118,621,497
109年7月,信義區,男,448,257,191
109年7月,信義區,女,670,364,306
109年7月,大安區,計,1148,619,529
109年7月,大安區,男,477,273,204
109年7月,大安區,女,671,346,325
109年7月,中山區,計,1438,790,648
109年7月,中山區,男,573,334,239
109年7月,中山區,女,865,456,409
109年7月,中正區,計,736,438,298
109年7月,中正區,男,339,212,127
109年7月,中正區,女,397,226,171
109年7月,大同區,計,751,418,333
109年7月,大同區,男,322,169,153
109年7月,大同區,女,429,249,180
109年7月,萬華區,計,1456,759,697
109年7月,萬華區,男,627,331,296
109年7月,萬華區,女,829,428,401
109年7月,文山區,計,2232,1204,1028
109年7月,文山區,男,961,524,437
109年7月,文山區,女,1271,680,591
109年7月,南港區,計,1511,1047,464
109年7月,南港區,男,678,482,196
109年7月,南港區,女,833,565,268
109年7月,內湖區,計,2461,1637,824
109年7月,內湖區,男,1052,723,329
109年7月,內湖區,女,1409,914,495
109年7月,士林區,計,1680,945,735
109年7月,士林區,男,696,398,298
109年7月,士林區,女,984,547,437
109年7月,北投區,計,1658,976,682
109年7月,北投區,男,707,438,269
109年7月,北投區,女,951,538,413
109年8月,總計,計,17118,9972,7146
109年8月,總計,男,7262,4349,2913
109年8月,總計,女,9856,5623,4233
109年8月,松山區,計,948,533,415
109年8月,松山區,男,392,221,171
109年8月,松山區,女,556,312,244
109年8月,信義區,計,1116,621,495
109年8月,信義區,男,444,256,188
109年8月,信義區,女,672,365,307
109年8月,大安區,計,1151,619,532
109年8月,大安區,男,483,276,207
109年8月,大安區,女,668,343,325
109年8月,中山區,計,1427,784,643
109年8月,中山區,男,566,327,239
109年8月,中山區,女,861,457,404
109年8月,中正區,計,747,442,305
109年8月,中正區,男,343,213,130
109年8月,中正區,女,404,229,175
109年8月,大同區,計,757,417,340
109年8月,大同區,男,326,169,157
109年8月,大同區,女,431,248,183
109年8月,萬華區,計,1443,757,686
109年8月,萬華區,男,624,330,294
109年8月,萬華區,女,819,427,392
109年8月,文山區,計,2229,1198,1031
109年8月,文山區,男,968,524,444
109年8月,文山區,女,1261,674,587
109年8月,南港區,計,1508,1044,464
109年8月,南港區,男,672,477,195
109年8月,南港區,女,836,567,269
109年8月,內湖區,計,2456,1633,823
109年8月,內湖區,男,1048,722,326
109年8月,內湖區,女,1408,911,497
109年8月,士林區,計,1681,945,736
109年8月,士林區,男,695,396,299
109年8月,士林區,女,986,549,437
109年8月,北投區,計,1655,979,676
109年8月,北投區,男,701,438,263
109年8月,北投區,女,954,541,413
109年9月,總計,計,17139,9985,7154
109年9月,總計,男,7276,4358,2918
109年9月,總計,女,9863,5627,4236
109年9月,松山區,計,942,525,417
109年9月,松山區,男,391,219,172
109年9月,松山區,女,551,306,245
109年9月,信義區,計,1118,623,495
109年9月,信義區,男,446,256,190
109年9月,信義區,女,672,367,305
109年9月,大安區,計,1145,615,530
109年9月,大安區,男,481,274,207
109年9月,大安區,女,664,341,323
109年9月,中山區,計,1434,787,647
109年9月,中山區,男,567,328,239
109年9月,中山區,女,867,459,408
109年9月,中正區,計,754,437,317
109年9月,中正區,男,345,209,136
109年9月,中正區,女,409,228,181
109年9月,大同區,計,761,415,346
109年9月,大同區,男,326,168,158
109年9月,大同區,女,435,247,188
109年9月,萬華區,計,1440,762,678
109年9月,萬華區,男,621,330,291
109年9月,萬華區,女,819,432,387
109年9月,文山區,計,2232,1200,1032
109年9月,文山區,男,971,527,444
109年9月,文山區,女,1261,673,588
109年9月,南港區,計,1505,1044,461
109年9月,南港區,男,668,476,192
109年9月,南港區,女,837,568,269
109年9月,內湖區,計,2457,1641,816
109年9月,內湖區,男,1052,728,324
109年9月,內湖區,女,1405,913,492
109年9月,士林區,計,1694,954,740
109年9月,士林區,男,703,402,301
109年9月,士林區,女,991,552,439
109年9月,北投區,計,1657,982,675
109年9月,北投區,男,705,441,264
109年9月,北投區,女,952,541,411
109年10月,總計,計,17142,9978,7164
109年10月,總計,男,7284,4358,2926
109年10月,總計,女,9858,5620,4238
109年10月,松山區,計,933,517,416
109年10月,松山區,男,386,214,172
109年10月,松山區,女,547,303,244
109年10月,信義區,計,1125,624,501
109年10月,信義區,男,447,255,192
109年10月,信義區,女,678,369,309
109年10月,大安區,計,1149,615,534
109年10月,大安區,男,483,275,208
109年10月,大安區,女,666,340,326
109年10月,中山區,計,1435,785,650
109年10月,中山區,男,568,329,239
109年10月,中山區,女,867,456,411
109年10月,中正區,計,755,437,318
109年10月,中正區,男,346,208,138
109年10月,中正區,女,409,229,180
109年10月,大同區,計,761,417,344
109年10月,大同區,男,329,171,158
109年10月,大同區,女,432,246,186
109年10月,萬華區,計,1437,757,680
109年10月,萬華區,男,617,328,289
109年10月,萬華區,女,820,429,391
109年10月,文山區,計,2234,1197,1037
109年10月,文山區,男,975,528,447
109年10月,文山區,女,1259,669,590
109年10月,南港區,計,1506,1044,462
109年10月,南港區,男,669,476,193
109年10月,南港區,女,837,568,269
109年10月,內湖區,計,2456,1645,811
109年10月,內湖區,男,1051,727,324
109年10月,內湖區,女,1405,918,487
109年10月,士林區,計,1689,952,737
109年10月,士林區,男,707,404,303
109年10月,士林區,女,982,548,434
109年10月,北投區,計,1662,988,674
109年10月,北投區,男,706,443,263
109年10月,北投區,女,956,545,411
109年11月,總計,計,17121,9976,7145
109年11月,總計,男,7279,4356,2923
109年11月,總計,女,9842,5620,4222
109年11月,松山區,計,932,517,415
109年11月,松山區,男,386,214,172
109年11月,松山區,女,546,303,243
109年11月,信義區,計,1124,621,503
109年11月,信義區,男,446,253,193
109年11月,信義區,女,678,368,310
109年11月,大安區,計,1143,607,536
109年11月,大安區,男,481,271,210
109年11月,大安區,女,662,336,326
109年11月,中山區,計,1435,785,650
109年11月,中山區,男,572,331,241
109年11月,中山區,女,863,454,409
109年11月,中正區,計,762,445,317
109年11月,中正區,男,347,209,138
109年11月,中正區,女,415,236,179
109年11月,大同區,計,749,411,338
109年11月,大同區,男,323,168,155
109年11月,大同區,女,426,243,183
109年11月,萬華區,計,1441,759,682
109年11月,萬華區,男,615,327,288
109年11月,萬華區,女,826,432,394
109年11月,文山區,計,2225,1200,1025
109年11月,文山區,男,973,530,443
109年11月,文山區,女,1252,670,582
109年11月,南港區,計,1508,1044,464
109年11月,南港區,男,670,477,193
109年11月,南港區,女,838,567,271
109年11月,內湖區,計,2452,1642,810
109年11月,內湖區,男,1049,726,323
109年11月,內湖區,女,1403,916,487
109年11月,士林區,計,1687,954,733
109年11月,士林區,男,709,405,304
109年11月,士林區,女,978,549,429
109年11月,北投區,計,1663,991,672
109年11月,北投區,男,708,445,263
109年11月,北投區,女,955,546,409
109年12月,總計,計,17131,9993,7138
109年12月,總計,男,7278,4365,2913
109年12月,總計,女,9853,5628,4225
109年12月,松山區,計,937,521,416
109年12月,松山區,男,386,214,172
109年12月,松山區,女,551,307,244
109年12月,信義區,計,1117,619,498
109年12月,信義區,男,443,251,192
109年12月,信義區,女,674,368,306
109年12月,大安區,計,1143,606,537
109年12月,大安區,男,484,273,211
109年12月,大安區,女,659,333,326
109年12月,中山區,計,1439,790,649
109年12月,中山區,男,571,332,239
109年12月,中山區,女,868,458,410
109年12月,中正區,計,771,450,321
109年12月,中正區,男,351,212,139
109年12月,中正區,女,420,238,182
109年12月,大同區,計,749,411,338
109年12月,大同區,男,325,170,155
109年12月,大同區,女,424,241,183
109年12月,萬華區,計,1445,761,684
109年12月,萬華區,男,615,328,287
109年12月,萬華區,女,830,433,397
109年12月,文山區,計,2224,1200,1024
109年12月,文山區,男,968,530,438
109年12月,文山區,女,1256,670,586
109年12月,南港區,計,1516,1051,465
109年12月,南港區,男,675,481,194
109年12月,南港區,女,841,570,271
109年12月,內湖區,計,2446,1637,809
109年12月,內湖區,男,1044,721,323
109年12月,內湖區,女,1402,916,486
109年12月,士林區,計,1682,954,728
109年12月,士林區,男,708,408,300
109年12月,士林區,女,974,546,428
109年12月,北投區,計,1662,993,669
109年12月,北投區,男,708,445,263
109年12月,北投區,女,954,548,406
