年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
109年1月,總計,計,17028,9984,7044
109年1月,總計,男,7222,4361,2861
109年1月,總計,女,9806,5623,4183
109年1月,松山區,計,937,524,413
109年1月,松山區,男,391,220,171
109年1月,松山區,女,546,304,242
109年1月,信義區,計,1115,611,504
109年1月,信義區,男,445,254,191
109年1月,信義區,女,670,357,313
109年1月,大安區,計,1138,623,515
109年1月,大安區,男,480,277,203
109年1月,大安區,女,658,346,312
109年1月,中山區,計,1459,812,647
109年1月,中山區,男,580,333,247
109年1月,中山區,女,879,479,400
109年1月,中正區,計,733,431,302
109年1月,中正區,男,335,206,129
109年1月,中正區,女,398,225,173
109年1月,大同區,計,732,412,320
109年1月,大同區,男,308,163,145
109年1月,大同區,女,424,249,175
109年1月,萬華區,計,1419,741,678
109年1月,萬華區,男,602,319,283
109年1月,萬華區,女,817,422,395
109年1月,文山區,計,2215,1203,1012
109年1月,文山區,男,953,529,424
109年1月,文山區,女,1262,674,588
109年1月,南港區,計,1466,1048,418
109年1月,南港區,男,662,491,171
109年1月,南港區,女,804,557,247
109年1月,內湖區,計,2483,1641,842
109年1月,內湖區,男,1071,731,340
109年1月,內湖區,女,1412,910,502
109年1月,士林區,計,1675,952,723
109年1月,士林區,男,694,400,294
109年1月,士林區,女,981,552,429
109年1月,北投區,計,1656,986,670
109年1月,北投區,男,701,438,263
109年1月,北投區,女,955,548,407
109年2月,總計,計,17045,9984,7061
109年2月,總計,男,7223,4359,2864
109年2月,總計,女,9822,5625,4197
109年2月,松山區,計,941,525,416
109年2月,松山區,男,391,219,172
109年2月,松山區,女,550,306,244
109年2月,信義區,計,1119,615,504
109年2月,信義區,男,446,254,192
109年2月,信義區,女,673,361,312
109年2月,大安區,計,1142,623,519
109年2月,大安區,男,482,277,205
109年2月,大安區,女,660,346,314
109年2月,中山區,計,1442,798,644
109年2月,中山區,男,575,330,245
109年2月,中山區,女,867,468,399
109年2月,中正區,計,740,439,301
109年2月,中正區,男,339,210,129
109年2月,中正區,女,401,229,172
109年2月,大同區,計,738,414,324
109年2月,大同區,男,309,164,145
109年2月,大同區,女,429,250,179
109年2月,萬華區,計,1429,750,679
109年2月,萬華區,男,606,322,284
109年2月,萬華區,女,823,428,395
109年2月,文山區,計,2221,1202,1019
109年2月,文山區,男,955,530,425
109年2月,文山區,女,1266,672,594
109年2月,南港區,計,1466,1041,425
109年2月,南港區,男,662,488,174
109年2月,南港區,女,804,553,251
109年2月,內湖區,計,2483,1642,841
109年2月,內湖區,男,1070,731,339
109年2月,內湖區,女,1413,911,502
109年2月,士林區,計,1666,948,718
109年2月,士林區,男,687,395,292
109年2月,士林區,女,979,553,426
109年2月,北投區,計,1658,987,671
109年2月,北投區,男,701,439,262
109年2月,北投區,女,957,548,409
109年3月,總計,計,17055,9978,7077
109年3月,總計,男,7214,4354,2860
109年3月,總計,女,9841,5624,4217
109年3月,松山區,計,949,528,421
109年3月,松山區,男,393,220,173
109年3月,松山區,女,556,308,248
109年3月,信義區,計,1113,616,497
109年3月,信義區,男,443,253,190
109年3月,信義區,女,670,363,307
109年3月,大安區,計,1145,621,524
109年3月,大安區,男,475,274,201
109年3月,大安區,女,670,347,323
109年3月,中山區,計,1433,786,647
109年3月,中山區,男,570,327,243
109年3月,中山區,女,863,459,404
109年3月,中正區,計,737,440,297
109年3月,中正區,男,342,213,129
109年3月,中正區,女,395,227,168
109年3月,大同區,計,732,411,321
109年3月,大同區,男,308,164,144
109年3月,大同區,女,424,247,177
109年3月,萬華區,計,1438,755,683
109年3月,萬華區,男,608,324,284
109年3月,萬華區,女,830,431,399
109年3月,文山區,計,2222,1198,1024
109年3月,文山區,男,954,528,426
109年3月,文山區,女,1268,670,598
109年3月,南港區,計,1480,1039,441
109年3月,南港區,男,667,486,181
109年3月,南港區,女,813,553,260
109年3月,內湖區,計,2485,1649,836
109年3月,內湖區,男,1067,731,336
109年3月,內湖區,女,1418,918,500
109年3月,士林區,計,1661,947,714
109年3月,士林區,男,686,396,290
109年3月,士林區,女,975,551,424
109年3月,北投區,計,1660,988,672
109年3月,北投區,男,701,438,263
109年3月,北投區,女,959,550,409
109年4月,總計,計,17079,9993,7086
109年4月,總計,男,7211,4355,2856
109年4月,總計,女,9868,5638,4230
109年4月,松山區,計,953,534,419
109年4月,松山區,男,394,222,172
109年4月,松山區,女,559,312,247
109年4月,信義區,計,1116,617,499
109年4月,信義區,男,447,256,191
109年4月,信義區,女,669,361,308
109年4月,大安區,計,1141,618,523
109年4月,大安區,男,468,272,196
109年4月,大安區,女,673,346,327
109年4月,中山區,計,1436,783,653
109年4月,中山區,男,571,326,245
109年4月,中山區,女,865,457,408
109年4月,中正區,計,735,440,295
109年4月,中正區,男,341,212,129
109年4月,中正區,女,394,228,166
109年4月,大同區,計,736,414,322
109年4月,大同區,男,311,165,146
109年4月,大同區,女,425,249,176
109年4月,萬華區,計,1441,758,683
109年4月,萬華區,男,609,325,284
109年4月,萬華區,女,832,433,399
109年4月,文山區,計,2222,1201,1021
109年4月,文山區,男,951,528,423
109年4月,文山區,女,1271,673,598
109年4月,南港區,計,1504,1053,451
109年4月,南港區,男,674,490,184
109年4月,南港區,女,830,563,267
109年4月,內湖區,計,2485,1653,832
109年4月,內湖區,男,1065,730,335
109年4月,內湖區,女,1420,923,497
109年4月,士林區,計,1654,941,713
