year,month,nationality,job_type,count
2018,4,菲律賓,農、林、漁、牧,17
2018,4,越南,農、林、漁、牧,6
2018,5,印尼,農、林、漁、牧,52
2018,5,菲律賓,農、林、漁、牧,11
2018,5,越南,農、林、漁、牧,5
2018,6,印尼,農、林、漁、牧,52
2018,6,菲律賓,農、林、漁、牧,11
2018,6,越南,農、林、漁、牧,5
2018,7,印尼,農、林、漁、牧,58
2018,7,菲律賓,農、林、漁、牧,11
2018,7,越南,農、林、漁、牧,4
2018,8,印尼,農、林、漁、牧,56
2018,8,菲律賓,農、林、漁、牧,11
2018,8,越南,農、林、漁、牧,4
2018,9,印尼,農、林、漁、牧,60
2018,9,菲律賓,農、林、漁、牧,11
2018,9,越南,農、林、漁、牧,4
2018,10,印尼,農、林、漁、牧,69
2018,10,菲律賓,農、林、漁、牧,10
2018,10,越南,農、林、漁、牧,4
2018,11,印尼,農、林、漁、牧,68
2018,11,菲律賓,農、林、漁、牧,9
2018,11,越南,農、林、漁、牧,4
2018,12,印尼,農、林、漁、牧,67
2018,12,菲律賓,農、林、漁、牧,11
2018,12,越南,農、林、漁、牧,7
2019,1,印尼,農、林、漁、牧,69
2019,1,菲律賓,農、林、漁、牧,10
2019,1,越南,農、林、漁、牧,7
2019,2,印尼,農、林、漁、牧,68
2019,2,菲律賓,農、林、漁、牧,10
2019,2,越南,農、林、漁、牧,7
2019,3,印尼,農、林、漁、牧,76
2019,3,菲律賓,農、林、漁、牧,10
2019,3,越南,農、林、漁、牧,7
2019,4,印尼,農、林、漁、牧,67
2019,4,菲律賓,農、林、漁、牧,10
2019,4,越南,農、林、漁、牧,7
2019,5,印尼,農、林、漁、牧,65
2019,5,菲律賓,農、林、漁、牧,9
2019,5,越南,農、林、漁、牧,7
2019,6,印尼,農、林、漁、牧,64
2019,6,菲律賓,農、林、漁、牧,9
2019,6,越南,農、林、漁、牧,7
2019,7,印尼,農、林、漁、牧,66
2019,7,菲律賓,農、林、漁、牧,9
2019,7,越南,農、林、漁、牧,5
2019,8,印尼,農、林、漁、牧,78
2019,8,菲律賓,農、林、漁、牧,9
2019,8,越南,農、林、漁、牧,6
2019,9,印尼,農、林、漁、牧,76
2019,9,菲律賓,農、林、漁、牧,10
2019,9,越南,農、林、漁、牧,4
2019,10,印尼,農、林、漁、牧,77
2019,10,菲律賓,農、林、漁、牧,12
2019,10,越南,農、林、漁、牧,4
2019,11,印尼,農、林、漁、牧,84
2019,11,菲律賓,農、林、漁、牧,13
2019,11,越南,農、林、漁、牧,5
2019,12,印尼,農、林、漁、牧,89
2019,12,菲律賓,農、林、漁、牧,13
2019,12,越南,農、林、漁、牧,6
2020,1,印尼,農、林、漁、牧,93
2020,1,菲律賓,農、林、漁、牧,13
2020,1,越南,農、林、漁、牧,6
2020,2,印尼,農、林、漁、牧,90
2020,2,菲律賓,農、林、漁、牧,12
2020,2,越南,農、林、漁、牧,7
2020,3,印尼,農、林、漁、牧,90
2020,3,菲律賓,農、林、漁、牧,8
2020,3,越南,農、林、漁、牧,5
2020,4,印尼,農、林、漁、牧,58
2020,4,菲律賓,農、林、漁、牧,8
2020,4,越南,農、林、漁、牧,8
2020,5,印尼,農、林、漁、牧,93
2020,5,菲律賓,農、林、漁、牧,8
2020,5,越南,農、林、漁、牧,5
2020,6,印尼,農、林、漁、牧,98
2020,6,菲律賓,農、林、漁、牧,8
2020,6,越南,農、林、漁、牧,6
2020,7,印尼,農、林、漁、牧,90
2020,7,菲律賓,農、林、漁、牧,8
2020,7,越南,農、林、漁、牧,6
2020,8,印尼,農、林、漁、牧,85
2020,8,菲律賓,農、林、漁、牧,8
2020,8,越南,農、林、漁、牧,7
2020,9,印尼,農、林、漁、牧,81
2020,9,菲律賓,農、林、漁、牧,8
2020,9,越南,農、林、漁、牧,7
2020,10,印尼,農、林、漁、牧,81
2020,10,菲律賓,農、林、漁、牧,8
2020,10,越南,農、林、漁、牧,7
2020,11,印尼,農、林、漁、牧,95
2020,11,菲律賓,農、林、漁、牧,10
2020,11,越南,農、林、漁、牧,7
2020,12,印尼,農、林、漁、牧,96
2020,12,菲律賓,農、林、漁、牧,10
2020,12,越南,農、林、漁、牧,7
2021,1,印尼,農、林、漁、牧,94
2021,1,菲律賓,農、林、漁、牧,10
2021,1,越南,農、林、漁、牧,7
2021,2,印尼,農、林、漁、牧,90
2021,2,菲律賓,農、林、漁、牧,10
2021,2,越南,農、林、漁、牧,6
2021,3,印尼,農、林、漁、牧,86
2021,3,菲律賓,農、林、漁、牧,10
2021,3,越南,農、林、漁、牧,4
2021,4,印尼,農、林、漁、牧,86
2021,4,菲律賓,農、林、漁、牧,10
2021,4,越南,農、林、漁、牧,4
2021,5,印尼,農、林、漁、牧,81
2021,5,菲律賓,農、林、漁、牧,11
2021,5,越南,農、林、漁、牧,4
2021,6,印尼,農、林、漁、牧,73
2021,6,菲律賓,農、林、漁、牧,8
2021,6,越南,農、林、漁、牧,6
2021,7,印尼,農、林、漁、牧,71
2021,7,菲律賓,農、林、漁、牧,8
2021,7,越南,農、林、漁、牧,6
2021,8,印尼,農、林、漁、牧,68
2021,8,菲律賓,農、林、漁、牧,7
2021,8,越南,農、林、漁、牧,8
2021,9,印尼,農、林、漁、牧,69
2021,9,菲律賓,農、林、漁、牧,7
2021,9,越南,農、林、漁、牧,7
2021,10,印尼,農、林、漁、牧,75
2021,10,菲律賓,農、林、漁、牧,7
2021,10,越南,農、林、漁、牧,7
2021,11,印尼,農、林、漁、牧,75
2021,11,菲律賓,農、林、漁、牧,8
2021,11,越南,農、林、漁、牧,5
2021,12,印尼,農、林、漁、牧,72
2021,12,菲律賓,農、林、漁、牧,8
2021,12,越南,農、林、漁、牧,5
2022,1,印尼,農、林、漁、牧,70
2022,1,菲律賓,農、林、漁、牧,8
2022,1,越南,農、林、漁、牧,2
2022,2,印尼,農、林、漁、牧,65
2022,2,菲律賓,農、林、漁、牧,8
2022,2,越南,農、林、漁、牧,2
2022,3,印尼,農、林、漁、牧,63
2022,3,菲律賓,農、林、漁、牧,8
2022,3,越南,農、林、漁、牧,2
2022,4,印尼,農、林、漁、牧,62
2022,4,菲律賓,農、林、漁、牧,8
2022,4,越南,農、林、漁、牧,2
2022,5,印尼,農、林、漁、牧,58
2022,5,菲律賓,農、林、漁、牧,7
2022,5,越南,農、林、漁、牧,2
2022,6,印尼,農、林、漁、牧,57
2022,6,菲律賓,農、林、漁、牧,7
2022,6,越南,農、林、漁、牧,2
2022,7,印尼,農、林、漁、牧,65
2022,7,菲律賓,農、林、漁、牧,6
2022,7,越南,農、林、漁、牧,2
2022,8,印尼,農、林、漁、牧,79
2022,8,菲律賓,農、林、漁、牧,6
2022,8,越南,農、林、漁、牧,3
2022,9,印尼,農、林、漁、牧,82
2022,9,菲律賓,農、林、漁、牧,6
2022,9,越南,農、林、漁、牧,6
2022,10,印尼,農、林、漁、牧,85
2022,10,菲律賓,農、林、漁、牧,5
2022,10,越南,農、林、漁、牧,5
2022,11,印尼,農、林、漁、牧,83
2022,11,菲律賓,農、林、漁、牧,5
2022,11,越南,農、林、漁、牧,3
2022,12,印尼,農、林、漁、牧,81
2022,12,菲律賓,農、林、漁、牧,5
2022,12,越南,農、林、漁、牧,9
2023,1,印尼,農、林、漁、牧,79
2023,1,菲律賓,農、林、漁、牧,4
2023,1,越南,農、林、漁、牧,6
2023,2,印尼,農、林、漁、牧,82
2023,2,菲律賓,農、林、漁、牧,3
2023,2,越南,農、林、漁、牧,6
2023,3,印尼,農、林、漁、牧,106
2023,3,菲律賓,農、林、漁、牧,8
2023,3,越南,農、林、漁、牧,5
2023,4,印尼,農、林、漁、牧,104
2023,4,菲律賓,農、林、漁、牧,8
2023,4,泰國,農、林、漁、牧,2
2023,4,越南,農、林、漁、牧,11
2023,5,印尼,農、林、漁、牧,110
2023,5,菲律賓,農、林、漁、牧,8
2023,5,泰國,農、林、漁、牧,2
2023,5,越南,農、林、漁、牧,11
2023,6,印尼,農、林、漁、牧,108
2023,6,菲律賓,農、林、漁、牧,8
2023,6,泰國,農、林、漁、牧,2
2023,6,越南,農、林、漁、牧,12
2023,7,印尼,農、林、漁、牧,111
2023,7,菲律賓,農、林、漁、牧,7
2023,7,泰國,農、林、漁、牧,2
2023,7,越南,農、林、漁、牧,12
2023,8,印尼,農、林、漁、牧,113
2023,8,菲律賓,農、林、漁、牧,7
2023,8,泰國,農、林、漁、牧,2
2023,8,越南,農、林、漁、牧,11
2023,9,印尼,農、林、漁、牧,107
2023,9,菲律賓,農、林、漁、牧,8
2023,9,泰國,農、林、漁、牧,4
2023,9,越南,農、林、漁、牧,9
2023,10,印尼,農、林、漁、牧,108
2023,10,菲律賓,農、林、漁、牧,7
2023,10,泰國,農、林、漁、牧,4
2023,10,越南,農、林、漁、牧,8
2023,11,印尼,農、林、漁、牧,104
2023,11,菲律賓,農、林、漁、牧,7
2023,11,泰國,農、林、漁、牧,3
