"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"109年 6月底","新北市/ 印尼",1442,6485,227,29021,119
"109年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 6月底","新北市/ 菲律賓",195,8767,－,4265,49
"109年 6月底","新北市/ 泰國",8,6513,307,41,1
"109年 6月底","新北市/ 越南",204,25631,13,3143,－
"109年 6月底","新北市/ 蒙古",－,－,－,－,－
"109年 6月底","新北市/ 其他",－,－,－,－,－
"109年 7月底","新北市/ 印尼",1441,6452,226,28795,117
"109年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 7月底","新北市/ 菲律賓",193,8712,22,4261,50
"109年 7月底","新北市/ 泰國",8,6428,290,41,1
"109年 7月底","新北市/ 越南",183,25486,11,3150,－
"109年 7月底","新北市/ 蒙古",－,－,－,－,－
"109年 7月底","新北市/ 其他",－,－,－,－,－
"109年 8月底","新北市/ 印尼",1417,6356,225,28494,112
"109年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 8月底","新北市/ 菲律賓",196,8686,23,4231,51
"109年 8月底","新北市/ 泰國",8,6303,280,39,1
"109年 8月底","新北市/ 越南",175,25642,23,3202,－
"109年 8月底","新北市/ 蒙古",－,－,－,－,－
"109年 8月底","新北市/ 其他",－,－,－,－,－
"109年 9月底","新北市/ 印尼",1398,6316,217,28243,105
"109年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 9月底","新北市/ 菲律賓",196,8620,24,4194,49
"109年 9月底","新北市/ 泰國",8,6277,347,38,1
"109年 9月底","新北市/ 越南",182,25892,37,3267,－
"109年 9月底","新北市/ 蒙古",－,－,－,－,－
"109年 9月底","新北市/ 其他",－,－,－,－,－
"109年 10月底","新北市/ 印尼",1363,6281,202,27949,103
"109年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 10月底","新北市/ 菲律賓",181,8564,26,4147,49
"109年 10月底","新北市/ 泰國",8,6254,346,40,1
"109年 10月底","新北市/ 越南",178,26013,38,3275,1
"109年 10月底","新北市/ 蒙古",－,－,－,－,－
"109年 10月底","新北市/ 其他",－,－,－,－,－
"109年 11月底","新北市/ 印尼",1337,6250,194,27849,107
"109年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 11月底","新北市/ 菲律賓",169,8517,36,4088,47
"109年 11月底","新北市/ 泰國",8,6202,369,38,1
"109年 11月底","新北市/ 越南",188,26081,42,3244,1
"109年 11月底","新北市/ 蒙古",－,－,－,－,－
"109年 11月底","新北市/ 其他",－,－,－,－,－
"109年 12月底","新北市/ 印尼",1309,6244,189,27866,114
"109年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"109年 12月底","新北市/ 菲律賓",167,8468,53,4062,48
"109年 12月底","新北市/ 泰國",7,6192,444,40,1
"109年 12月底","新北市/ 越南",203,26376,62,3273,1
"109年 12月底","新北市/ 蒙古",－,－,－,－,－
"109年 12月底","新北市/ 其他",－,－,－,－,－
"110年 1月底","新北市/ 印尼",1289,6209,187,27677,111
"110年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 1月底","新北市/ 菲律賓",166,8471,63,4028,41
"110年 1月底","新北市/ 泰國",8,6200,491,41,1
"110年 1月底","新北市/ 越南",207,26707,74,3315,－
"110年 1月底","新北市/ 蒙古",－,－,－,－,－
"110年 1月底","新北市/ 其他",－,－,－,－,－
"110年 2月底","新北市/ 印尼",1279,6172,186,27458,110
"110年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 2月底","新北市/ 菲律賓",166,8436,72,4001,43
"110年 2月底","新北市/ 泰國",8,6182,502,37,1
"110年 2月底","新北市/ 越南",201,26769,73,3317,－
"110年 2月底","新北市/ 蒙古",－,－,－,－,－
"110年 2月底","新北市/ 其他",－,－,－,－,－
"110年 3月底","新北市/ 印尼",1273,6157,183,27074,107
"110年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 3月底","新北市/ 菲律賓",174,8412,75,3991,43
"110年 3月底","新北市/ 泰國",7,6217,503,38,1
"110年 3月底","新北市/ 越南",229,26912,67,3302,－
"110年 3月底","新北市/ 蒙古",－,－,－,－,－
"110年 3月底","新北市/ 其他",－,－,－,－,－
"110年 4月底","新北市/ 印尼",1256,6108,182,26725,108
"110年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 4月底","新北市/ 菲律賓",176,8339,76,3962,42
"110年 4月底","新北市/ 泰國",7,6186,521,39,1
"110年 4月底","新北市/ 越南",240,26974,66,3245,－
"110年 4月底","新北市/ 蒙古",－,－,－,－,－
"110年 4月底","新北市/ 其他",－,－,－,－,－
"110年 5月底","新北市/ 印尼",1229,6071,182,26478,101
"110年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 5月底","新北市/ 菲律賓",177,8282,76,3917,43
"110年 5月底","新北市/ 泰國",7,6169,512,35,1
"110年 5月底","新北市/ 越南",245,26906,53,3263,－
"110年 5月底","新北市/ 蒙古",－,－,－,－,－
"110年 5月底","新北市/ 其他",－,－,－,－,－
"110年 6月底","新北市/ 印尼",1198,6029,176,26289,102
"110年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 6月底","新北市/ 菲律賓",178,8221,76,3915,43
"110年 6月底","新北市/ 泰國",7,6138,496,34,1
"110年 6月底","新北市/ 越南",239,26709,41,3223,－
"110年 6月底","新北市/ 蒙古",－,－,－,－,－
"110年 6月底","新北市/ 其他",－,－,－,－,－
"110年 7月底","新北市/ 印尼",1180,5957,165,25979,102
"110年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 7月底","新北市/ 菲律賓",175,8149,76,3876,41
"110年 7月底","新北市/ 泰國",7,6087,593,33,1
"110年 7月底","新北市/ 越南",220,26238,64,3178,－
"110年 7月底","新北市/ 蒙古",－,－,－,－,－
"110年 7月底","新北市/ 其他",－,－,－,－,－
"110年 8月底","新北市/ 印尼",1146,5928,161,25703,103
"110年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 8月底","新北市/ 菲律賓",174,7845,76,3856,39
"110年 8月底","新北市/ 泰國",7,6059,593,31,1
"110年 8月底","新北市/ 越南",205,25911,59,3132,－
"110年 8月底","新北市/ 蒙古",－,－,－,－,－
"110年 8月底","新北市/ 其他",－,－,－,－,－
"110年 9月底","新北市/ 印尼",1121,5859,163,25467,99
"110年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 9月底","新北市/ 菲律賓",173,7738,76,3815,39
"110年 9月底","新北市/ 泰國",7,6004,591,31,1
"110年 9月底","新北市/ 越南",192,25540,57,3098,－
"110年 9月底","新北市/ 蒙古",－,－,－,－,－
"110年 9月底","新北市/ 其他",－,－,－,－,－
"110年 10月底","新北市/ 印尼",1107,5809,162,25210,95
"110年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 10月底","新北市/ 菲律賓",168,7621,76,3784,39
"110年 10月底","新北市/ 泰國",7,5968,594,32,1
"110年 10月底","新北市/ 越南",187,25148,49,3020,1
"110年 10月底","新北市/ 蒙古",－,－,－,－,－
"110年 10月底","新北市/ 其他",－,－,－,－,－
"110年 11月底","新北市/ 印尼",1060,5789,136,24942,91
"110年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 11月底","新北市/ 菲律賓",164,7478,76,3745,36
"110年 11月底","新北市/ 泰國",7,5925,579,32,1
"110年 11月底","新北市/ 越南",187,24845,48,2970,1
"110年 11月底","新北市/ 蒙古",－,－,－,－,－
"110年 11月底","新北市/ 其他",－,－,－,－,－
"110年 12月底","新北市/ 印尼",1042,5752,135,24713,91
"110年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"110年 12月底","新北市/ 菲律賓",157,7385,76,3688,35
"110年 12月底","新北市/ 泰國",7,5868,584,30,1
"110年 12月底","新北市/ 越南",171,24511,47,2896,1
"110年 12月底","新北市/ 蒙古",－,－,－,－,－
"110年 12月底","新北市/ 其他",－,－,－,－,－
"111年 1月底","新北市/ 印尼",1011,5748,133,24466,91
"111年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 1月底","新北市/ 菲律賓",151,7335,75,3659,34
"111年 1月底","新北市/ 泰國",7,5825,594,31,1
"111年 1月底","新北市/ 越南",169,24121,52,2849,1
"111年 1月底","新北市/ 蒙古",－,－,－,－,－
"111年 1月底","新北市/ 其他",－,－,－,－,－
"111年 2月底","新北市/ 印尼",999,5745,131,24296,91
"111年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 2月底","新北市/ 菲律賓",146,7294,75,3644,34
"111年 2月底","新北市/ 泰國",7,5802,608,31,1
"111年 2月底","新北市/ 越南",162,23908,50,2818,1
"111年 2月底","新北市/ 蒙古",－,－,－,－,－
"111年 2月底","新北市/ 其他",－,－,－,－,－
"111年 3月底","新北市/ 印尼",981,5768,131,23914,89
"111年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 3月底","新北市/ 菲律賓",143,7223,75,3595,34
"111年 3月底","新北市/ 泰國",7,5885,693,30,1
"111年 3月底","新北市/ 越南",152,23369,48,2770,1
"111年 3月底","新北市/ 蒙古",－,－,－,－,－
"111年 3月底","新北市/ 其他",－,－,－,－,－
"111年 4月底","新北市/ 印尼",1007,5845,162,23635,88
"111年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 4月底","新北市/ 菲律賓",143,7145,74,3566,32
"111年 4月底","新北市/ 泰國",6,6034,797,28,1
"111年 4月底","新北市/ 越南",147,23149,48,2732,1
"111年 4月底","新北市/ 蒙古",－,－,－,－,－
"111年 4月底","新北市/ 其他",－,－,－,－,－
"111年 5月底","新北市/ 印尼",1071,6048,197,23649,87
"111年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 5月底","新北市/ 菲律賓",148,7208,74,3612,35
"111年 5月底","新北市/ 泰國",6,6135,811,32,1
"111年 5月底","新北市/ 越南",140,23287,76,2704,1
"111年 5月底","新北市/ 蒙古",－,－,－,－,－
"111年 5月底","新北市/ 其他",－,－,－,－,－
"111年 6月底","新北市/ 印尼",1119,6239,257,23462,88
"111年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 6月底","新北市/ 菲律賓",148,7310,74,3652,35
"111年 6月底","新北市/ 泰國",6,6205,848,34,1
"111年 6月底","新北市/ 越南",138,23920,83,2714,1
"111年 6月底","新北市/ 蒙古",－,－,－,－,－
"111年 6月底","新北市/ 其他",－,－,－,－,－
"111年 7月底","新北市/ 印尼",1198,6503,263,23261,87
"111年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 7月底","新北市/ 菲律賓",148,7321,74,3677,33
"111年 7月底","新北市/ 泰國",6,6262,878,37,1
"111年 7月底","新北市/ 越南",148,24666,101,2711,1
"111年 7月底","新北市/ 蒙古",－,－,－,－,－
"111年 7月底","新北市/ 其他",－,－,－,－,－
"111年 8月底","新北市/ 印尼",1291,6764,272,23105,83
"111年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 8月底","新北市/ 菲律賓",161,7500,72,3775,35
"111年 8月底","新北市/ 泰國",5,6353,867,35,1
"111年 8月底","新北市/ 越南",151,25354,123,2713,1
"111年 8月底","新北市/ 蒙古",－,－,－,－,－
"111年 8月底","新北市/ 其他",－,－,－,－,－
"111年 9月底","新北市/ 印尼",1272,6876,276,22797,82
"111年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 9月底","新北市/ 菲律賓",157,7603,72,3823,36
"111年 9月底","新北市/ 泰國",4,6355,939,38,1
"111年 9月底","新北市/ 越南",147,25617,141,2734,1
"111年 9月底","新北市/ 蒙古",－,－,－,－,－
"111年 9月底","新北市/ 其他",－,－,－,－,－
"111年 10月底","新北市/ 印尼",1266,6944,275,22724,77
"111年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 10月底","新北市/ 菲律賓",155,7658,71,3920,38
"111年 10月底","新北市/ 泰國",4,6370,978,39,2
"111年 10月底","新北市/ 越南",147,25891,144,2714,1
"111年 10月底","新北市/ 蒙古",－,－,－,－,－
"111年 10月底","新北市/ 其他",－,－,－,－,－
"111年 11月底","新北市/ 印尼",1237,7097,224,22954,81
"111年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 11月底","新北市/ 菲律賓",145,7824,69,4007,43
"111年 11月底","新北市/ 泰國",4,6356,1058,41,2
"111年 11月底","新北市/ 越南",137,26298,207,2730,2
"111年 11月底","新北市/ 蒙古",－,－,－,－,－
"111年 11月底","新北市/ 其他",－,－,－,－,－
"111年 12月底","新北市/ 印尼",1244,7173,224,23352,83
"111年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"111年 12月底","新北市/ 菲律賓",132,7837,69,4080,52
"111年 12月底","新北市/ 泰國",6,6303,1138,37,2
"111年 12月底","新北市/ 越南",131,26265,277,2739,2
"111年 12月底","新北市/ 蒙古",－,－,－,－,－
"111年 12月底","新北市/ 其他",－,－,－,－,－
"112年 1月底","新北市/ 印尼",1220,7119,221,23823,89
"112年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 1月底","新北市/ 菲律賓",131,7760,69,4182,52
"112年 1月底","新北市/ 泰國",7,6203,1134,36,2
"112年 1月底","新北市/ 越南",114,25510,321,2694,2
"112年 1月底","新北市/ 蒙古",－,－,－,－,－
"112年 1月底","新北市/ 其他",－,－,－,－,－
"112年 2月底","新北市/ 印尼",1229,7137,221,24154,91
"112年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 2月底","新北市/ 菲律賓",136,7815,66,4220,52
"112年 2月底","新北市/ 泰國",8,6190,1123,36,2
"112年 2月底","新北市/ 越南",127,25763,321,2673,3
"112年 2月底","新北市/ 蒙古",－,－,－,－,－
"112年 2月底","新北市/ 其他",－,－,－,－,－
"112年 3月底","新北市/ 印尼",1286,7190,218,24361,100
"112年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 3月底","新北市/ 菲律賓",142,7785,62,4199,54
"112年 3月底","新北市/ 泰國",9,6065,1167,34,2
"112年 3月底","新北市/ 越南",136,25717,400,2663,3
"112年 3月底","新北市/ 蒙古",－,－,－,－,－
"112年 3月底","新北市/ 其他",－,－,－,－,－
"112年 4月底","新北市/ 印尼",1307,7255,232,24249,97
"112年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 4月底","新北市/ 菲律賓",144,7772,61,4187,55
"112年 4月底","新北市/ 泰國",10,6012,1176,38,2
"112年 4月底","新北市/ 越南",139,25981,405,2685,2
"112年 4月底","新北市/ 蒙古",－,－,－,－,－
"112年 4月底","新北市/ 其他",－,－,－,－,－
"112年 5月底","新北市/ 印尼",1353,7263,231,24549,99
"112年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 5月底","新北市/ 菲律賓",150,7805,61,4163,54
"112年 5月底","新北市/ 泰國",9,6020,1259,36,2
"112年 5月底","新北市/ 越南",142,26096,417,2734,2
"112年 5月底","新北市/ 蒙古",－,－,－,－,－
"112年 5月底","新北市/ 其他",－,－,－,－,－
"112年 6月底","新北市/ 印尼",1362,7261,228,24670,104
"112年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 6月底","新北市/ 菲律賓",147,7791,87,4148,55
"112年 6月底","新北市/ 泰國",9,5995,1322,37,2
"112年 6月底","新北市/ 越南",155,26215,403,2767,2
"112年 6月底","新北市/ 蒙古",－,－,－,－,－
"112年 6月底","新北市/ 其他",－,－,－,－,－
"112年 7月底","新北市/ 印尼",1369,7312,210,24956,111
"112年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 7月底","新北市/ 菲律賓",152,7738,110,4109,53
"112年 7月底","新北市/ 泰國",10,5958,1393,34,2
"112年 7月底","新北市/ 越南",158,26194,396,2798,2
"112年 7月底","新北市/ 蒙古",－,－,－,－,－
"112年 7月底","新北市/ 其他",－,－,－,－,－
"112年 8月底","新北市/ 印尼",1380,7388,221,25259,117
"112年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 8月底","新北市/ 菲律賓",150,7688,110,4099,56
"112年 8月底","新北市/ 泰國",10,5968,1414,35,2
"112年 8月底","新北市/ 越南",172,26384,426,2808,2
"112年 8月底","新北市/ 蒙古",－,－,－,－,－
"112年 8月底","新北市/ 其他",－,－,－,－,－
"112年 9月底","新北市/ 印尼",1417,7460,227,25528,124
"112年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 9月底","新北市/ 菲律賓",145,7636,110,4046,56
"112年 9月底","新北市/ 泰國",10,5898,1449,37,2
"112年 9月底","新北市/ 越南",168,26547,465,2829,2
"112年 9月底","新北市/ 蒙古",－,－,－,－,－
"112年 9月底","新北市/ 其他",－,－,－,－,－
"112年 10月底","新北市/ 印尼",1366,7460,255,25708,123
"112年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"112年 10月底","新北市/ 菲律賓",134,7642,110,4014,51
"112年 10月底","新北市/ 泰國",10,5810,1487,34,2
"112年 10月底","新北市/ 越南",168,26536,474,2833,2
"112年 10月底","新北市/ 蒙古",－,－,－,－,－
"112年 10月底","新北市/ 其他",－,－,－,－,－
"112年 11月底","新北市/ 印尼",1351,7505,308,25929,115
"112年 11月底","新北市/ 馬來西亞",－,1,－,－,－
"112年 11月底","新北市/ 菲律賓",133,7569,108,3985,52
"112年 11月底","新北市/ 泰國",9,5830,1497,33,2
"112年 11月底","新北市/ 越南",174,26633,485,2852,2
"112年 11月底","新北市/ 蒙古",－,－,－,－,－
"112年 11月底","新北市/ 其他",－,－,－,－,－
"112年 12月底","新北市/ 印尼",1327,7554,315,26008,121
"112年 12月底","新北市/ 馬來西亞",－,1,－,－,－
"112年 12月底","新北市/ 菲律賓",124,7514,118,3907,58
"112年 12月底","新北市/ 泰國",9,5808,1497,35,2
"112年 12月底","新北市/ 越南",172,26715,484,2848,2
"112年 12月底","新北市/ 蒙古",－,－,－,－,－
"112年 12月底","新北市/ 其他",－,－,－,－,－
"113年 1月底","新北市/ 印尼",1326,7603,316,26356,126
"113年 1月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 1月底","新北市/ 菲律賓",120,7528,122,3924,57
"113年 1月底","新北市/ 泰國",11,5788,1578,36,2
"113年 1月底","新北市/ 越南",169,26651,475,2872,2
"113年 1月底","新北市/ 蒙古",－,－,－,－,－
"113年 1月底","新北市/ 其他",－,－,－,－,－
"113年 2月底","新北市/ 印尼",1320,7557,326,26444,132
"113年 2月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 2月底","新北市/ 菲律賓",118,7517,126,3901,56
"113年 2月底","新北市/ 泰國",12,5763,1555,34,2
"113年 2月底","新北市/ 越南",174,26215,468,2830,2
"113年 2月底","新北市/ 蒙古",－,－,－,－,－
"113年 2月底","新北市/ 其他",－,－,－,－,－
"113年 3月底","新北市/ 印尼",1333,7668,352,26604,133
"113年 3月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 3月底","新北市/ 菲律賓",122,7550,130,3883,57
"113年 3月底","新北市/ 泰國",12,5761,1677,34,2
"113年 3月底","新北市/ 越南",176,26318,475,2830,4
"113年 3月底","新北市/ 蒙古",－,－,－,－,－
"113年 3月底","新北市/ 其他",－,－,－,－,－
"113年 4月底","新北市/ 印尼",1425,7669,363,26506,132
"113年 4月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 4月底","新北市/ 菲律賓",126,7583,130,3868,57
"113年 4月底","新北市/ 泰國",12,5817,1748,37,2
"113年 4月底","新北市/ 越南",177,26441,540,2844,4
"113年 4月底","新北市/ 蒙古",－,－,－,－,－
"113年 4月底","新北市/ 其他",－,－,－,－,－
"113年 5月底","新北市/ 印尼",1468,7729,368,26766,139
"113年 5月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 5月底","新北市/ 菲律賓",133,7557,130,3806,58
"113年 5月底","新北市/ 泰國",12,5847,1882,36,2
"113年 5月底","新北市/ 越南",175,26898,609,2848,5
"113年 5月底","新北市/ 蒙古",－,－,－,－,－
"113年 5月底","新北市/ 其他",－,－,－,－,－
"113年 6月底","新北市/ 印尼",1488,7794,428,26987,146
"113年 6月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 6月底","新北市/ 菲律賓",132,7568,129,3837,59
"113年 6月底","新北市/ 泰國",9,5884,1962,35,2
"113年 6月底","新北市/ 越南",182,27250,731,2882,5
"113年 6月底","新北市/ 蒙古",－,－,－,－,－
"113年 6月底","新北市/ 其他",－,－,－,－,－
"113年 7月底","新北市/ 印尼",1513,7837,560,27186,151
"113年 7月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 7月底","新北市/ 菲律賓",135,7569,129,3823,57
"113年 7月底","新北市/ 泰國",8,5951,1964,33,2
"113年 7月底","新北市/ 越南",186,27474,792,2887,5
"113年 7月底","新北市/ 蒙古",－,－,－,－,－
"113年 7月底","新北市/ 其他",－,－,－,－,－
"113年 8月底","新北市/ 印尼",1510,7904,597,27361,153
"113年 8月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 8月底","新北市/ 菲律賓",134,7605,128,3789,55
"113年 8月底","新北市/ 泰國",8,5985,2095,32,2
"113年 8月底","新北市/ 越南",202,27689,818,2888,5
"113年 8月底","新北市/ 蒙古",－,－,－,－,－
"113年 8月底","新北市/ 其他",－,－,－,－,－
"113年 9月底","新北市/ 印尼",1501,7955,634,27676,153
"113年 9月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 9月底","新北市/ 菲律賓",134,7563,133,3771,53
"113年 9月底","新北市/ 泰國",8,5971,2222,31,2
"113年 9月底","新北市/ 越南",210,27871,843,2880,4
"113年 9月底","新北市/ 蒙古",－,－,－,－,－
"113年 9月底","新北市/ 其他",－,－,－,－,－
"113年 10月底","新北市/ 印尼",1467,8032,703,27910,157
"113年 10月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 10月底","新北市/ 菲律賓",130,7566,133,3761,55
"113年 10月底","新北市/ 泰國",8,5972,2200,32,2
"113年 10月底","新北市/ 越南",207,28117,902,2889,4
"113年 10月底","新北市/ 蒙古",－,－,－,－,－
"113年 10月底","新北市/ 其他",－,－,－,－,－
"113年 11月底","新北市/ 印尼",1417,8060,733,28113,166
"113年 11月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 11月底","新北市/ 菲律賓",129,7546,128,3771,53
"113年 11月底","新北市/ 泰國",10,6052,2184,31,2
"113年 11月底","新北市/ 越南",212,28321,927,2886,4
"113年 11月底","新北市/ 蒙古",－,－,－,－,－
"113年 11月底","新北市/ 其他",－,－,－,－,－
"113年 12月底","新北市/ 印尼",1369,8123,770,28292,170
"113年 12月底","新北市/ 馬來西亞",－,1,－,－,－
"113年 12月底","新北市/ 菲律賓",119,7529,126,3714,51
"113年 12月底","新北市/ 泰國",10,6039,2197,29,3
"113年 12月底","新北市/ 越南",203,28501,924,2865,5
"113年 12月底","新北市/ 蒙古",－,－,－,－,－
"113年 12月底","新北市/ 其他",－,－,－,－,－
"114年 1月底","新北市/ 印尼",1345,8119,757,28513,176
"114年 1月底","新北市/ 馬來西亞",－,1,－,－,－
"114年 1月底","新北市/ 菲律賓",112,7479,99,3723,51
"114年 1月底","新北市/ 泰國",10,6001,2174,29,3
"114年 1月底","新北市/ 越南",191,28170,986,2882,5
"114年 1月底","新北市/ 蒙古",－,－,－,－,－
"114年 1月底","新北市/ 其他",－,－,－,－,－
"114年 2月底","新北市/ 印尼",1330,8203,749,28586,182
"114年 2月底","新北市/ 馬來西亞",－,1,－,－,－
"114年 2月底","新北市/ 菲律賓",111,7583,99,3707,55
"114年 2月底","新北市/ 泰國",12,6033,2186,30,3
"114年 2月底","新北市/ 越南",199,28416,977,2891,5
"114年 2月底","新北市/ 蒙古",－,－,－,－,－
"114年 2月底","新北市/ 其他",－,－,－,－,－
"114年 3月底","新北市/ 印尼",1316,8247,752,28521,177
"114年 3月底","新北市/ 馬來西亞",－,1,－,－,－
"114年 3月底","新北市/ 菲律賓",110,7635,98,3678,59
"114年 3月底","新北市/ 泰國",11,6122,2151,30,3
"114年 3月底","新北市/ 越南",203,28662,1033,2897,6
"114年 3月底","新北市/ 蒙古",－,－,－,－,－
"114年 3月底","新北市/ 其他",－,－,－,－,－
"114年 4月底","新北市/ 印尼",1351,8208,778,28657,181
"114年 4月底","新北市/ 馬來西亞",－,1,－,－,－
"114年 4月底","新北市/ 菲律賓",115,7564,98,3659,58
"114年 4月底","新北市/ 泰國",10,6040,2101,30,3
"114年 4月底","新北市/ 越南",199,28962,1050,2897,6
"114年 4月底","新北市/ 蒙古",－,－,－,－,－
"114年 4月底","新北市/ 其他",－,－,－,－,－


"說明：114年4月新增「多元陪伴照顧服務工作」,102年8月底至108年4月底為「外展看護工」。"
