"統計期","縣市別/國籍別","農、林、漁、牧","製造","營建","看護工","家庭幫傭"
"105年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 2月底","新北市/ 菲律賓",219,6736,－,3514,46
"105年 2月底","新北市/ 泰國",3,6724,1087,68,－
"105年 2月底","新北市/ 越南",169,19619,580,2126,－
"105年 2月底","新北市/ 蒙古",－,－,－,－,－
"105年 2月底","新北市/ 其他",－,－,－,－,－
"105年 3月底","新北市/ 印尼",1078,5598,103,24866,149
"105年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 3月底","新北市/ 菲律賓",219,6907,－,3540,50
"105年 3月底","新北市/ 泰國",3,6710,1071,70,－
"105年 3月底","新北市/ 越南",219,19782,573,2177,－
"105年 3月底","新北市/ 蒙古",－,－,－,－,－
"105年 3月底","新北市/ 其他",－,－,－,－,－
"105年 4月底","新北市/ 印尼",1072,5540,101,24884,150
"105年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 4月底","新北市/ 菲律賓",214,6837,－,3548,51
"105年 4月底","新北市/ 泰國",3,6555,937,72,－
"105年 4月底","新北市/ 越南",279,19920,574,2213,－
"105年 4月底","新北市/ 蒙古",－,－,－,－,－
"105年 4月底","新北市/ 其他",－,－,－,－,－
"105年 5月底","新北市/ 印尼",1067,5509,100,24891,150
"105年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 5月底","新北市/ 菲律賓",212,6923,－,3615,51
"105年 5月底","新北市/ 泰國",2,6524,879,70,－
"105年 5月底","新北市/ 越南",336,20207,575,2247,1
"105年 5月底","新北市/ 蒙古",－,－,－,－,－
"105年 5月底","新北市/ 其他",－,－,－,－,－
"105年 6月底","新北市/ 印尼",1027,5468,98,24665,139
"105年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 6月底","新北市/ 菲律賓",212,7117,－,3667,50
"105年 6月底","新北市/ 泰國",2,6563,902,64,－
"105年 6月底","新北市/ 越南",358,20346,514,2294,1
"105年 6月底","新北市/ 蒙古",－,－,－,－,－
"105年 6月底","新北市/ 其他",－,－,－,－,－
"105年 7月底","新北市/ 印尼",980,5441,97,24633,132
"105年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 7月底","新北市/ 菲律賓",210,7221,－,3744,49
"105年 7月底","新北市/ 泰國",1,6601,882,65,－
"105年 7月底","新北市/ 越南",379,20583,508,2350,1
"105年 7月底","新北市/ 蒙古",－,－,－,－,－
"105年 7月底","新北市/ 其他",－,－,－,－,－
"105年 8月底","新北市/ 印尼",984,5419,94,24757,130
"105年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 8月底","新北市/ 菲律賓",207,7274,－,3800,48
"105年 8月底","新北市/ 泰國",1,6565,919,65,1
"105年 8月底","新北市/ 越南",345,20484,504,2378,1
"105年 8月底","新北市/ 蒙古",－,－,－,－,－
"105年 8月底","新北市/ 其他",－,－,－,－,－
"105年 9月底","新北市/ 印尼",966,5363,10,24738,129
"105年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 9月底","新北市/ 菲律賓",203,7359,－,3834,46
"105年 9月底","新北市/ 泰國",1,6515,1061,61,1
"105年 9月底","新北市/ 越南",334,20477,498,2394,2
"105年 9月底","新北市/ 蒙古",－,－,－,－,－
"105年 9月底","新北市/ 其他",－,－,－,－,－
"105年 10月底","新北市/ 印尼",936,5512,2,25024,134
"105年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 10月底","新北市/ 菲律賓",205,7318,－,3839,45
"105年 10月底","新北市/ 泰國",3,6577,1029,60,1
"105年 10月底","新北市/ 越南",330,20847,486,2475,1
"105年 10月底","新北市/ 蒙古",－,－,－,－,－
"105年 10月底","新北市/ 其他",－,－,－,－,－
"105年 11月底","新北市/ 印尼",936,5560,2,25052,135
"105年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 11月底","新北市/ 菲律賓",206,7290,－,3831,45
"105年 11月底","新北市/ 泰國",3,6656,1068,64,1
"105年 11月底","新北市/ 越南",331,21167,499,2544,1
"105年 11月底","新北市/ 蒙古",－,－,－,－,－
"105年 11月底","新北市/ 其他",－,－,－,－,－
"105年 12月底","新北市/ 印尼",957,5734,2,25321,131
"105年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"105年 12月底","新北市/ 菲律賓",202,7348,－,3851,45
"105年 12月底","新北市/ 泰國",3,6728,1075,63,1
"105年 12月底","新北市/ 越南",311,21497,516,2612,1
"105年 12月底","新北市/ 蒙古",－,－,－,－,－
"105年 12月底","新北市/ 其他",－,－,－,－,－
"106年 1月底","新北市/ 印尼",1005,5832,5,25491,135
"106年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 1月底","新北市/ 菲律賓",203,7419,－,3854,44
"106年 1月底","新北市/ 泰國",3,6764,1090,66,－
"106年 1月底","新北市/ 越南",306,21616,505,2661,2
"106年 1月底","新北市/ 蒙古",－,－,－,－,－
"106年 1月底","新北市/ 其他",－,－,－,－,－
"106年 2月底","新北市/ 印尼",1042,5853,5,25738,136
"106年 2月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 2月底","新北市/ 菲律賓",195,7436,－,3910,47
"106年 2月底","新北市/ 泰國",3,6734,1075,66,－
"106年 2月底","新北市/ 越南",284,21505,493,2703,1
"106年 2月底","新北市/ 蒙古",－,－,－,－,－
"106年 2月底","新北市/ 其他",－,－,－,－,－
"106年 3月底","新北市/ 印尼",1091,5927,5,25993,133
"106年 3月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 3月底","新北市/ 菲律賓",191,7540,－,3976,49
"106年 3月底","新北市/ 泰國",3,6831,1097,63,－
"106年 3月底","新北市/ 越南",262,21795,444,2762,1
"106年 3月底","新北市/ 蒙古",－,－,－,－,－
"106年 3月底","新北市/ 其他",－,－,－,－,－
"106年 4月底","新北市/ 印尼",1130,6045,6,26164,133
"106年 4月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 4月底","新北市/ 菲律賓",215,7640,－,3977,53
"106年 4月底","新北市/ 泰國",3,6844,1071,63,－
"106年 4月底","新北市/ 越南",272,22139,404,2803,1
"106年 4月底","新北市/ 蒙古",－,－,－,－,－
"106年 4月底","新北市/ 其他",－,－,－,－,－
"106年 5月底","新北市/ 印尼",1150,6079,6,26080,132
"106年 5月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 5月底","新北市/ 菲律賓",229,7662,－,3973,56
"106年 5月底","新北市/ 泰國",3,6886,1022,63,－
"106年 5月底","新北市/ 越南",264,22412,399,2843,1
"106年 5月底","新北市/ 蒙古",－,－,－,－,－
"106年 5月底","新北市/ 其他",－,－,－,－,－
"106年 6月底","新北市/ 印尼",1136,6192,6,26195,135
"106年 6月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 6月底","新北市/ 菲律賓",232,7745,－,3989,58
"106年 6月底","新北市/ 泰國",3,6905,1009,61,－
"106年 6月底","新北市/ 越南",257,22701,391,2920,1
"106年 6月底","新北市/ 蒙古",－,－,－,－,－
"106年 6月底","新北市/ 其他",－,－,－,－,－
"106年 7月底","新北市/ 印尼",1196,6233,6,26261,139
"106年 7月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 7月底","新北市/ 菲律賓",229,7847,－,3985,55
"106年 7月底","新北市/ 泰國",3,6946,1045,62,－
"106年 7月底","新北市/ 越南",254,22951,375,2967,2
"106年 7月底","新北市/ 蒙古",－,－,－,－,－
"106年 7月底","新北市/ 其他",－,－,－,－,－
"106年 8月底","新北市/ 印尼",1220,6357,6,26411,137
"106年 8月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 8月底","新北市/ 菲律賓",233,7834,－,4038,50
"106年 8月底","新北市/ 泰國",3,6956,1049,59,－
"106年 8月底","新北市/ 越南",262,23165,373,3016,2
"106年 8月底","新北市/ 蒙古",－,－,－,－,－
"106年 8月底","新北市/ 其他",－,－,－,－,－
"106年 9月底","新北市/ 印尼",1271,6310,6,26550,137
"106年 9月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 9月底","新北市/ 菲律賓",231,7937,－,4043,46
"106年 9月底","新北市/ 泰國",3,7053,1037,59,－
"106年 9月底","新北市/ 越南",258,23363,364,3071,2
"106年 9月底","新北市/ 蒙古",－,－,－,－,－
"106年 9月底","新北市/ 其他",－,－,－,－,－
"106年 10月底","新北市/ 印尼",1314,6310,6,26565,131
"106年 10月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 10月底","新北市/ 菲律賓",231,7891,－,4045,49
"106年 10月底","新北市/ 泰國",3,7073,1017,56,－
"106年 10月底","新北市/ 越南",260,23504,342,3072,2
"106年 10月底","新北市/ 蒙古",－,－,－,－,－
"106年 10月底","新北市/ 其他",－,－,－,－,－
"106年 11月底","新北市/ 印尼",1325,6311,6,26834,128
"106年 11月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 11月底","新北市/ 菲律賓",232,7923,－,4041,48
"106年 11月底","新北市/ 泰國",3,7102,989,56,－
"106年 11月底","新北市/ 越南",266,23933,313,3091,1
"106年 11月底","新北市/ 蒙古",－,－,－,－,－
"106年 11月底","新北市/ 其他",－,－,－,－,－
"106年 12月底","新北市/ 印尼",1335,6235,6,27001,130
"106年 12月底","新北市/ 馬來西亞",－,－,－,－,－
"106年 12月底","新北市/ 菲律賓",220,7914,－,3990,48
"106年 12月底","新北市/ 泰國",3,7054,965,57,－
"106年 12月底","新北市/ 越南",262,24300,286,3153,2
"106年 12月底","新北市/ 蒙古",－,－,－,－,－
"106年 12月底","新北市/ 其他",－,－,－,－,－
"107年 1月底","新北市/ 印尼",1314,6161,6,27182,134
"107年 1月底","新北市/ 馬來西亞",－,－,－,－,－
"107年 1月底","新北市/ 菲律賓",220,7954,－,4039,50
"107年 1月底","新北市/ 泰國",4,7021,945,55,－
"107年 1月底","新北市/ 越南",268,24565,258,3166,1
"107年 1月底","新北市/ 蒙古",－,－,－,－,－
