場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點
陽明山國家公園小油坑遊客服務站,竹子湖路69號,63000120,25.176434,121.546896,觀光旅遊地區,國家公園,小油坑遊客服務站內
內政部國家公園署陽明山國家公園管理處-擎天崗遊客服務站,菁山路101巷246號,63000110,25.167212,121.574182,觀光旅遊地區,國家公園,服務站大門入口處
陽明山國家公園冷水坑遊客服務站,菁山路101巷170號,63000110,25.165613,121.56391,觀光旅遊地區,國家公園,一樓展場內
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國內線報到大廳
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國內線內候機室1樓
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國際線3樓入境廊道:昇恒昌對面
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國內線內候機室2樓
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國際線2樓內候機室:8R登機門東側
交通部臺灣鐵路管理局臺北運務段萬華站,康定路382號,63000070,25.033349,121.500442,交通要衝,台鐵車站,一月台行車室
交通部臺灣鐵路管理局臺北運務段臺北站,北平西路3號1樓,63000050,25.047924,121.517081,交通要衝,台鐵車站,B1F西側出口內方
國營臺灣鐵路股份有限公司北區營運處臺北運務段松山站,永吉里松山路11號,63000020,25.049263,121.578054,交通要衝,台鐵車站,松山站旅客諮詢服務中心旁
國家文官學院,忠孝東路7段576號,63000090,25.052806,121.612808,其他,其他場所,行政大樓1樓菁英講堂前
行政院人事行政總處公務人力發展學院福華國際文教會館,新生南路3段30號,63000030,25.022831,121.534192,旅宿場所,飯店,1樓大廳東側
誠品生活股份有限公司204號辦公室,松德路204號B1,63000020,25.034413,121.574268,其他,其他場所,大會議室1門口
誠品生活股份有限公司西門店,峨眉街52號B1F-3F,63000070,25.043798,121.505412,大型購物場所,百貨業,誠品生活西門店B1F
誠品生活股份有限公司武昌店,武昌街2段77號,63000070,25.04517,121.505568,大型購物場所,百貨業,誠品武昌店4F服務台旁
重生REBORN體能工作室,民權東路6段56巷1弄4號1樓,63000100,25.068474,121.584753,其他,其他場所,櫃台旁牆上(壁掛式)
誠品生活股份有限公司台大店,新生南路3段98號,63000030,25.016996,121.533065,大型購物場所,百貨業,誠品書店台大店1F緊急逃生出口處
豐隆大飯店股份有限公司(台北君悅酒店)1樓商務中心,松壽路2號,63000020,25.035255,121.562439,旅宿場所,飯店,一樓商務中心旁
學校財團法人中華浸信會基督教台灣浸會神學院,吳興街394巷1號,63000020,25.023742,121.566763,學校、大型集會場所,大專院校,二號辦公室
武甲運動事業有限公司古亭營業所,羅斯福路二段93號B1,63000030,25.025228,121.524275,學校、大型集會場所,健身房,台北市羅斯福路二段93號B1
天成大飯店,忠孝西路一段四十三號,63000050,25.0467151,121.5156511,旅宿場所,旅館,飯店一樓大廳
全聯實業股份有限公司(大直總部),敬業四路31、33號1樓,63000040,25.08076,121.557519,其他,其他場所,1樓電梯口旁走廊
臺北市政府衛生局社區心理衛生中心,金山南路一段5號,63000050,25.041679,121.529652,其他,其他場所,1樓大廳
臺北市中正區健康服務中心,牯嶺街24號,63000050,25.031667,121.516389,其他,其他場所,側門入口電梯旁
交通部公路總局臺北市區監理所,八德路4段21號,63000010,25.048478,121.558997,其他,其他場所,監理所1樓
GYMEFIT健康店,台北市松山區健康路227號,63000010,25.0543148,121.5626807,其他,其他場所,入們扣口左側牆上
臺北市士林區公所,中正路439號1樓,63000110,25.092762,121.519559,其他,其他場所,士林行政中心一樓電梯左側
香港商世界健身事業有限公司台北松仁分公司,松仁路277號B1.1樓,63000020,25.024338,121.569739,學校、大型集會場所,健身房,健身中心B1
臺北南港展覽館2館,經貿二路2號,63000090,25.056239,121.615618,其他,其他場所,展覽館7樓
臺北市北投區公所,新市街30號4樓,63000120,25.132426,121.503,其他,其他場所,北投區行政中心1樓
Curves 女性30分鐘環狀運動 大安店,信義路三段192號2樓,63000030,25.0331889,121.5430092,學校、大型集會場所,健身房,台北市大安區信義路三段192號2樓
交通部觀光署,忠孝東路4段290號9樓,63000030,25.041247,121.555697,其他,其他場所,9樓服務台
台北亞都麗緻大飯店,民權東路2段41號,63000040,25.06282,121.530058,其他,其他場所,台北市民權東路二段41號
宸光體適能有限公司,鄭州路119號B1,63000060,25.050333,121.51099,學校、大型集會場所,健身房,櫃檯前方
香港商世界健身事業有限公司忠孝分公司,忠孝東路4段201號3樓,63000030,25.041677,121.551655,學校、大型集會場所,健身房,健身中心三樓洽談區
香港商世界健身事業有限公司飛動公館分公司,羅斯福路三段281號,63000030,25.018002,121.531381,學校、大型集會場所,健身房,櫃台大廳
嘉禾新村,永春街131巷,63000050,25.0156342,121.5269975,觀光旅遊地區,文化園區,嘉禾故事館服務台
臺北市私立延平高級中學,建國南路1段275號,63000030,25.036378,121.538413,學校、大型集會場所,高中職,操場 司令台
LIGHT WORKER 私人運動招待所,中山區樂群二路187號五樓之2,63000040,25.079966,121.558521,其他,其他場所,台北市中山區樂群二路187號五樓之2
根基營造-民權東案,民權東路三段175巷旁工地,63000010,25.0626529,121.5479408,其他,其他場所,1F組合屋休息區
臺北市萬華老人服務中心,開封街二段39號3樓,63000070,25.04714076,121.5064315,其他,其他場所,萬華老人中心3樓公共區域辦公室旁
臺北市立石牌國民中學,石牌路一段139號,63000120,25.114965,121.514231,學校、大型集會場所,國中,總務前穿堂(701教室旁)
GonnaFat-權宇,長安東路二段99號2樓,63000040,25.0485735,121.5349587,學校、大型集會場所,健身房,二樓櫃台旁
財團法人台北市文化基金會台北當代藝術館,長安西路39號,63000060,25.050725,121.518975,大型休閒場所,美術館,售票大廳處
醫療財團法人好心肝基金會好心肝診所,公園路30號2樓之2,63000050,25.044454,121.516835,其他,其他場所,醫療財團法人好心肝基金會好心肝診所
衛生福利部中央健康保險署臺北業務組,公園路15之1號5樓,63000050,25.044786,121.517406,其他,其他場所,聯合服務中心五樓服務台前方
公務人員保障暨培訓委員會,試院路1之3號,63000080,24.987862,121.549293,其他,其他場所,玉衡樓1樓大廳
衛生福利部疾病管制署研檢南港臨時辦公室,研究院路二段128號(中央研究院院區內),63000090,25.04201962,121.6166635,其他,其他場所,研檢南港臨時辦公室一樓大廳
國營臺灣鐵路股份有限公司北區營運處臺北運務段 南港站,南港路1段313號,63000090,25.053216,121.607058,交通要衝,台鐵車站,第二月台行車室門前
衛生福利部,忠孝東路六段488號,63000090,25.050197,121.595335,其他,其他場所,1樓東側梯廳前
衛生福利部,忠孝東路六段488號,63000090,25.050197,121.595335,其他,其他場所,8樓西側公共空間
衛生福利部,忠孝東路六段488號,63000090,25.050197,121.595335,其他,其他場所,3樓西側哺乳室前
中國科技大學臺北校區,興隆路3段56號,63000080,24.997535,121.554239,學校、大型集會場所,大專院校,中山育樂館2樓
實踐大學台北校區,大直街70號,63000040,25.084817,121.544749,學校、大型集會場所,大專院校,G棟1樓衛生保健一組前
愛健康肌力教室,內湖路二段73號1樓,63000100,25.079821,121.5823711,其他,其他場所,門口
臺北市立金華國民中學,新生南路二段32號,63000030,25.031201,121.533178,其他,其他場所,中穿堂樓梯旁廊道
財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店,中山北路4段1巷1號,63000040,25.078611,121.526287,旅宿場所,旅館,本館2樓健身房
虎鐵健身工作室,重慶南路一段88號2樓,63000050,25.043012,121.512982,大型休閒場所,運動場館(如小巨蛋),入口處
潤泰百益股份有限公司/CITYLINK松山壹號店,松山路11號,63000020,25.04919,121.578299,大型購物場所,商場,2樓服務台 右方
欣欣大眾市場股份有限公司,林森北路247號,63000040,25.05421,121.525601,大型購物場所,百貨業,B1美食街
春天酒店股份有限公司,幽雅路18號,63000120,25.137585,121.513555,旅宿場所,旅館,1樓大廳櫃台
