年份,月份,性別,總計,阿美族數量,泰雅族數量,排灣族數量,布農族數量,魯凱族數量,卑南族數量,鄒族數量,賽夏族數量,雅美族數量,邵族數量,噶瑪蘭族數量,太魯閣族數量,撒奇萊雅族數量,賽德克族數量,拉阿魯哇族數量,卡那卡那富族數量,尚未申報
111,9,女,9691,4495,1727,976,640,145,282,110,103,36,18,24,564,21,159,1,1,389
111,10,計,16971,8076,2950,1730,1105,256,501,179,196,56,26,48,937,34,256,1,2,618
111,10,男,7260,3557,1224,759,464,111,220,68,93,20,8,24,373,13,98,0,1,227
111,10,女,9711,4519,1726,971,641,145,281,111,103,36,18,24,564,21,158,1,1,391
111,11,計,16994,8086,2954,1736,1107,257,502,179,194,56,26,48,939,34,256,1,2,617
111,11,男,7268,3555,1226,763,468,111,220,68,92,20,8,24,373,13,98,0,1,228
111,11,女,9726,4531,1728,973,639,146,282,111,102,36,18,24,566,21,158,1,1,389
111,12,計,16978,8080,2959,1736,1100,256,499,180,196,56,26,49,931,35,257,1,2,615
111,12,男,7265,3553,1229,765,463,111,221,69,92,20,8,25,370,13,98,0,1,227
111,12,女,9713,4527,1730,971,637,145,278,111,104,36,18,24,561,22,159,1,1,388
112,1,計,16990,8091,2953,1741,1110,255,499,180,194,55,27,48,927,35,259,1,2,613
112,1,男,7260,3554,1222,764,468,110,222,69,92,20,8,24,370,13,98,0,1,225
112,1,女,9730,4537,1731,977,642,145,277,111,102,35,19,24,557,22,161,1,1,388
112,2,計,16985,8088,2939,1750,1104,253,503,181,195,55,28,50,929,36,261,1,2,610
112,2,男,7256,3548,1217,768,466,110,221,69,92,20,8,26,370,14,101,0,1,225
112,2,女,9729,4540,1722,982,638,143,282,112,103,35,20,24,559,22,160,1,1,385
112,3,計,16986,8098,2921,1761,1104,254,503,181,195,55,28,50,929,36,260,1,2,608
112,3,男,7262,3554,1214,769,466,111,222,69,93,20,8,26,370,14,102,0,1,223
112,3,女,9724,4544,1707,992,638,143,281,112,102,35,20,24,559,22,158,1,1,385
112,4,計,16998,8104,2929,1759,1101,253,505,181,195,54,29,52,931,36,262,1,2,604
112,4,男,7273,3558,1217,769,466,111,222,69,93,20,8,27,374,14,103,0,1,221
112,4,女,9725,4546,1712,990,635,142,283,112,102,34,21,25,557,22,159,1,1,383
112,5,計,17035,8115,2933,1761,1116,253,509,180,195,53,29,52,936,36,261,1,2,603
112,5,男,7285,3566,1213,770,471,111,223,69,93,19,8,27,377,14,102,0,1,221
112,5,女,9750,4549,1720,991,645,142,286,111,102,34,21,25,559,22,159,1,1,382
112,6,計,17031,8086,2951,1775,1110,256,507,180,198,50,29,51,934,36,261,1,2,604
112,6,男,7274,3546,1219,780,468,112,223,69,93,16,8,26,374,14,102,0,1,223
112,6,女,9757,4540,1732,995,642,144,284,111,105,34,21,25,560,22,159,1,1,381
112,7,計,17038,8084,2958,1775,1114,257,507,178,198,52,29,50,935,36,260,1,2,602
112,7,男,7277,3540,1224,782,470,113,224,69,93,17,8,25,373,14,101,0,1,223
112,7,女,9761,4544,1734,993,644,144,283,109,105,35,21,25,562,22,159,1,1,379
112,8,計,17058,8107,2957,1778,1120,255,505,181,198,52,29,50,923,36,261,2,2,602
112,8,男,7304,3557,1225,785,476,113,224,71,93,17,8,25,371,14,101,0,1,223
112,8,女,9754,4550,1732,993,644,142,281,110,105,35,21,25,552,22,160,2,1,379
112,9,計,17084,8128,2959,1773,1122,252,506,180,199,53,29,50,929,36,262,2,2,602
112,9,男,7314,3566,1227,780,477,111,225,71,93,17,8,25,373,14,102,0,1,224
112,9,女,9770,4562,1732,993,645,141,281,109,106,36,21,25,556,22,160,2,1,378
112,10,計,17121,8152,2966,1775,1123,251,508,178,200,54,29,51,931,36,266,2,1,598
112,10,男,7331,3582,1232,779,477,110,225,71,93,18,8,25,373,14,104,0,0,220
112,10,女,9790,4570,1734,996,646,141,283,107,107,36,21,26,558,22,162,2,1,378
112,11,計,17128,8160,2959,1779,1124,246,508,179,200,54,32,51,934,36,267,2,1,596
112,11,男,7330,3585,1220,783,480,109,225,72,93,18,8,25,375,14,105,0,0,218
112,11,女,9798,4575,1739,996,644,137,283,107,107,36,24,26,559,22,162,2,1,378
112,12,計,17150,8165,2964,1782,1131,246,508,179,200,56,32,51,937,36,268,2,1,592
112,12,男,7337,3584,1222,784,484,109,225,71,93,19,8,25,377,14,105,0,0,217
112,12,女,9813,4581,1742,998,647,137,283,108,107,37,24,26,560,22,163,2,1,375
113,1,計,17189,8178,2988,1782,1129,246,509,180,202,57,32,50,934,37,269,2,1,593
113,1,男,7373,3598,1236,783,480,108,226,72,95,20,8,25,382,15,107,0,0,218
113,1,女,9816,4580,1752,999,649,138,283,108,107,37,24,25,552,22,162,2,1,375
113,2,計,17345,8259,3016,1795,1137,244,517,182,204,63,32,52,947,38,271,2,1,585
113,2,男,7473,3653,1251,787,485,107,232,74,97,26,8,25,389,15,108,0,0,216
113,2,女,9872,4606,1765,1008,652,137,285,108,107,37,24,27,558,23,163,2,1,369
113,3,計,17513,8308,3060,1826,1160,250,518,188,207,65,32,52,954,38,270,2,1,582
113,3,男,7547,3675,1277,796,494,108,233,77,98,27,8,25,392,15,108,0,0,214
113,3,女,9966,4633,1783,1030,666,142,285,111,109,38,24,27,562,23,162,2,1,368
