年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
111年5月,萬華區,計,1398,750,648
111年5月,萬華區,男,605,329,276
111年5月,萬華區,女,793,421,372
111年5月,文山區,計,2175,1174,1001
111年5月,文山區,男,963,512,451
111年5月,文山區,女,1212,662,550
111年5月,南港區,計,1501,1039,462
111年5月,南港區,男,656,464,192
111年5月,南港區,女,845,575,270
111年5月,內湖區,計,2475,1636,839
111年5月,內湖區,男,1062,728,334
111年5月,內湖區,女,1413,908,505
111年5月,士林區,計,1698,961,737
111年5月,士林區,男,729,425,304
111年5月,士林區,女,969,536,433
111年5月,北投區,計,1694,1016,678
111年5月,北投區,男,726,455,271
111年5月,北投區,女,968,561,407
111年6月,總計,計,16942,9882,7060
111年6月,總計,男,7282,4374,2908
111年6月,總計,女,9660,5508,4152
111年6月,松山區,計,920,514,406
111年6月,松山區,男,382,214,168
111年6月,松山區,女,538,300,238
111年6月,信義區,計,1085,595,490
111年6月,信義區,男,435,249,186
111年6月,信義區,女,650,346,304
111年6月,大安區,計,1106,589,517
111年6月,大安區,男,468,265,203
111年6月,大安區,女,638,324,314
111年6月,中山區,計,1369,751,618
111年6月,中山區,男,565,333,232
111年6月,中山區,女,804,418,386
111年6月,中正區,計,748,433,315
111年6月,中正區,男,341,205,136
111年6月,中正區,女,407,228,179
111年6月,大同區,計,764,407,357
111年6月,大同區,男,345,188,157
111年6月,大同區,女,419,219,200
111年6月,萬華區,計,1399,752,647
111年6月,萬華區,男,606,332,274
111年6月,萬華區,女,793,420,373
111年6月,文山區,計,2179,1181,998
111年6月,文山區,男,967,515,452
111年6月,文山區,女,1212,666,546
111年6月,南港區,計,1504,1041,463
111年6月,南港區,男,660,467,193
111年6月,南港區,女,844,574,270
111年6月,內湖區,計,2484,1641,843
111年6月,內湖區,男,1062,727,335
111年6月,內湖區,女,1422,914,508
111年6月,士林區,計,1684,957,727
111年6月,士林區,男,724,424,300
111年6月,士林區,女,960,533,427
111年6月,北投區,計,1700,1021,679
111年6月,北投區,男,727,455,272
111年6月,北投區,女,973,566,407
111年7月,總計,計,16926,9869,7057
111年7月,總計,男,7267,4359,2908
111年7月,總計,女,9659,5510,4149
111年7月,松山區,計,914,512,402
111年7月,松山區,男,379,213,166
111年7月,松山區,女,535,299,236
111年7月,信義區,計,1074,591,483
111年7月,信義區,男,433,247,186
111年7月,信義區,女,641,344,297
111年7月,大安區,計,1099,585,514
111年7月,大安區,男,469,266,203
111年7月,大安區,女,630,319,311
111年7月,中山區,計,1374,756,618
111年7月,中山區,男,566,334,232
111年7月,中山區,女,808,422,386
111年7月,中正區,計,743,426,317
111年7月,中正區,男,344,205,139
111年7月,中正區,女,399,221,178
111年7月,大同區,計,752,403,349
111年7月,大同區,男,334,184,150
111年7月,大同區,女,418,219,199
111年7月,萬華區,計,1404,753,651
111年7月,萬華區,男,608,333,275
111年7月,萬華區,女,796,420,376
111年7月,文山區,計,2184,1186,998
111年7月,文山區,男,965,514,451
111年7月,文山區,女,1219,672,547
111年7月,南港區,計,1508,1046,462
111年7月,南港區,男,661,467,194
111年7月,南港區,女,847,579,268
111年7月,內湖區,計,2481,1637,844
111年7月,內湖區,男,1061,725,336
111年7月,內湖區,女,1420,912,508
111年7月,士林區,計,1690,957,733
111年7月,士林區,男,726,424,302
111年7月,士林區,女,964,533,431
111年7月,北投區,計,1703,1017,686
111年7月,北投區,男,721,447,274
111年7月,北投區,女,982,570,412
111年8月,總計,計,16946,9880,7066
111年8月,總計,男,7263,4353,2910
111年8月,總計,女,9683,5527,4156
111年8月,松山區,計,915,512,403
111年8月,松山區,男,379,213,166
111年8月,松山區,女,536,299,237
111年8月,信義區,計,1078,595,483
111年8月,信義區,男,433,249,184
111年8月,信義區,女,645,346,299
111年8月,大安區,計,1089,573,516
111年8月,大安區,男,464,258,206
111年8月,大安區,女,625,315,310
111年8月,中山區,計,1378,758,620
111年8月,中山區,男,569,335,234
111年8月,中山區,女,809,423,386
111年8月,中正區,計,748,422,326
111年8月,中正區,男,343,203,140
111年8月,中正區,女,405,219,186
111年8月,大同區,計,763,411,352
111年8月,大同區,男,336,188,148
111年8月,大同區,女,427,223,204
111年8月,萬華區,計,1405,756,649
111年8月,萬華區,男,613,337,276
111年8月,萬華區,女,792,419,373
111年8月,文山區,計,2180,1188,992
111年8月,文山區,男,961,514,447
111年8月,文山區,女,1219,674,545
111年8月,南港區,計,1509,1048,461
111年8月,南港區,男,659,466,193
111年8月,南港區,女,850,582,268
111年8月,內湖區,計,2493,1644,849
111年8月,內湖區,男,1064,725,339
111年8月,內湖區,女,1429,919,510
111年8月,士林區,計,1682,956,726
111年8月,士林區,男,721,421,300
111年8月,士林區,女,961,535,426
111年8月,北投區,計,1706,1017,689
111年8月,北投區,男,721,444,277
111年8月,北投區,女,985,573,412
111年9月,總計,計,16962,9887,7075
111年9月,總計,男,7271,4349,2922
111年9月,總計,女,9691,5538,4153
111年9月,松山區,計,911,506,405
111年9月,松山區,男,375,209,166
111年9月,松山區,女,536,297,239
111年9月,信義區,計,1089,603,486
111年9月,信義區,男,442,253,189
111年9月,信義區,女,647,350,297
111年9月,大安區,計,1099,578,521
