年月,區域別,性別,原住民人口數_合計數量,原住民人口數_平地原住民數量,原住民人口數_山地原住民數量
112年8月,士林區,計,1688,953,735
112年8月,士林區,男,732,418,314
112年8月,士林區,女,956,535,421
112年8月,北投區,計,1711,1025,686
112年8月,北投區,男,725,440,285
112年8月,北投區,女,986,585,401
112年9月,總計,計,17084,9953,7131
112年9月,總計,男,7314,4355,2959
112年9月,總計,女,9770,5598,4172
112年9月,松山區,計,904,507,397
112年9月,松山區,男,373,208,165
112年9月,松山區,女,531,299,232
112年9月,信義區,計,1126,627,499
112年9月,信義區,男,461,263,198
112年9月,信義區,女,665,364,301
112年9月,大安區,計,1135,595,540
112年9月,大安區,男,493,271,222
112年9月,大安區,女,642,324,318
112年9月,中山區,計,1380,778,602
112年9月,中山區,男,567,338,229
112年9月,中山區,女,813,440,373
112年9月,中正區,計,717,402,315
112年9月,中正區,男,336,197,139
112年9月,中正區,女,381,205,176
112年9月,大同區,計,775,412,363
112年9月,大同區,男,346,195,151
112年9月,大同區,女,429,217,212
112年9月,萬華區,計,1429,762,667
112年9月,萬華區,男,606,324,282
112年9月,萬華區,女,823,438,385
112年9月,文山區,計,2227,1205,1022
112年9月,文山區,男,973,522,451
112年9月,文山區,女,1254,683,571
112年9月,南港區,計,1483,1029,454
112年9月,南港區,男,635,447,188
112年9月,南港區,女,848,582,266
112年9月,內湖區,計,2514,1662,852
112年9月,內湖區,男,1069,730,339
112年9月,內湖區,女,1445,932,513
112年9月,士林區,計,1678,946,732
112年9月,士林區,男,726,416,310
112年9月,士林區,女,952,530,422
112年9月,北投區,計,1716,1028,688
112年9月,北投區,男,729,444,285
112年9月,北投區,女,987,584,403
112年10月,總計,計,17121,9975,7146
112年10月,總計,男,7331,4365,2966
112年10月,總計,女,9790,5610,4180
112年10月,松山區,計,909,512,397
112年10月,松山區,男,373,208,165
112年10月,松山區,女,536,304,232
112年10月,信義區,計,1127,627,500
112年10月,信義區,男,462,263,199
112年10月,信義區,女,665,364,301
112年10月,大安區,計,1137,594,543
112年10月,大安區,男,494,272,222
112年10月,大安區,女,643,322,321
112年10月,中山區,計,1381,778,603
112年10月,中山區,男,568,339,229
112年10月,中山區,女,813,439,374
112年10月,中正區,計,708,400,308
112年10月,中正區,男,330,195,135
112年10月,中正區,女,378,205,173
112年10月,大同區,計,775,414,361
112年10月,大同區,男,346,197,149
112年10月,大同區,女,429,217,212
112年10月,萬華區,計,1443,772,671
112年10月,萬華區,男,620,332,288
112年10月,萬華區,女,823,440,383
112年10月,文山區,計,2227,1207,1020
112年10月,文山區,男,973,522,451
112年10月,文山區,女,1254,685,569
112年10月,南港區,計,1488,1032,456
112年10月,南港區,男,634,444,190
112年10月,南港區,女,854,588,266
112年10月,內湖區,計,2528,1665,863
112年10月,內湖區,男,1078,734,344
112年10月,內湖區,女,1450,931,519
112年10月,士林區,計,1679,943,736
112年10月,士林區,男,726,414,312
112年10月,士林區,女,953,529,424
112年10月,北投區,計,1719,1031,688
112年10月,北投區,男,727,445,282
112年10月,北投區,女,992,586,406
112年11月,總計,計,17128,9984,7144
112年11月,總計,男,7330,4367,2963
112年11月,總計,女,9798,5617,4181
112年11月,松山區,計,906,507,399
112年11月,松山區,男,368,204,164
112年11月,松山區,女,538,303,235
112年11月,信義區,計,1127,627,500
112年11月,信義區,男,458,260,198
112年11月,信義區,女,669,367,302
112年11月,大安區,計,1142,594,548
112年11月,大安區,男,496,272,224
112年11月,大安區,女,646,322,324
112年11月,中山區,計,1384,786,598
112年11月,中山區,男,575,345,230
112年11月,中山區,女,809,441,368
112年11月,中正區,計,714,406,308
112年11月,中正區,男,331,196,135
112年11月,中正區,女,383,210,173
112年11月,大同區,計,774,416,358
112年11月,大同區,男,343,197,146
112年11月,大同區,女,431,219,212
112年11月,萬華區,計,1444,778,666
112年11月,萬華區,男,617,335,282
112年11月,萬華區,女,827,443,384
112年11月,文山區,計,2236,1213,1023
112年11月,文山區,男,982,525,457
112年11月,文山區,女,1254,688,566
112年11月,南港區,計,1485,1029,456
112年11月,南港區,男,633,443,190
112年11月,南港區,女,852,586,266
112年11月,內湖區,計,2518,1660,858
112年11月,內湖區,男,1069,728,341
112年11月,內湖區,女,1449,932,517
112年11月,士林區,計,1679,938,741
112年11月,士林區,男,727,414,313
112年11月,士林區,女,952,524,428
112年11月,北投區,計,1719,1030,689
112年11月,北投區,男,731,448,283
112年11月,北投區,女,988,582,406
112年12月,總計,計,17150,9989,7161
112年12月,總計,男,7337,4366,2971
112年12月,總計,女,9813,5623,4190
112年12月,松山區,計,905,506,399
112年12月,松山區,男,366,203,163
112年12月,松山區,女,539,303,236
112年12月,信義區,計,1131,627,504
112年12月,信義區,男,459,259,200
112年12月,信義區,女,672,368,304
112年12月,大安區,計,1149,596,553
112年12月,大安區,男,502,274,228
112年12月,大安區,女,647,322,325
112年12月,中山區,計,1388,792,596
112年12月,中山區,男,575,346,229
112年12月,中山區,女,813,446,367
112年12月,中正區,計,723,411,312
112年12月,中正區,男,334,198,136
112年12月,中正區,女,389,213,176
112年12月,大同區,計,777,419,358
112年12月,大同區,男,344,199,145
112年12月,大同區,女,433,220,213
112年12月,萬華區,計,1438,774,664
112年12月,萬華區,男,612,332,280
112年12月,萬華區,女,826,442,384
112年12月,文山區,計,2233,1206,1027
112年12月,文山區,男,983,523,460
112年12月,文山區,女,1250,683,567
112年12月,南港區,計,1484,1028,456
112年12月,南港區,男,636,445,191
112年12月,南港區,女,848,583,265
112年12月,內湖區,計,2517,1660,857
112年12月,內湖區,男,1065,726,339
112年12月,內湖區,女,1452,934,518
112年12月,士林區,計,1686,945,741
112年12月,士林區,男,730,415,315
112年12月,士林區,女,956,530,426
112年12月,北投區,計,1719,1025,694
112年12月,北投區,男,731,446,285
112年12月,北投區,女,988,579,409
113年1月,總計,計,17189,10009,7180
113年1月,總計,男,7373,4388,2985
113年1月,總計,女,9816,5621,4195
113年1月,松山區,計,898,500,398
113年1月,松山區,男,367,204,163
113年1月,松山區,女,531,296,235
113年1月,信義區,計,1143,631,512
113年1月,信義區,男,470,263,207
113年1月,信義區,女,673,368,305
113年1月,大安區,計,1150,598,552
113年1月,大安區,男,503,275,228
113年1月,大安區,女,647,323,324
113年1月,中山區,計,1391,790,601
113年1月,中山區,男,575,345,230
113年1月,中山區,女,816,445,371
113年1月,中正區,計,738,418,320
113年1月,中正區,男,338,200,138
113年1月,中正區,女,400,218,182
113年1月,大同區,計,779,422,357
113年1月,大同區,男,347,202,145
113年1月,大同區,女,432,220,212
113年1月,萬華區,計,1444,779,665
113年1月,萬華區,男,619,337,282
113年1月,萬華區,女,825,442,383
113年1月,文山區,計,2240,1215,1025
113年1月,文山區,男,989,529,460
113年1月,文山區,女,1251,686,565
113年1月,南港區,計,1485,1029,456
113年1月,南港區,男,636,445,191
113年1月,南港區,女,849,584,265
113年1月,內湖區,計,2521,1667,854
113年1月,內湖區,男,1066,729,337
113年1月,內湖區,女,1455,938,517
113年1月,士林區,計,1683,939,744
113年1月,士林區,男,732,415,317
113年1月,士林區,女,951,524,427
113年1月,北投區,計,1717,1021,696
113年1月,北投區,男,731,444,287
113年1月,北投區,女,986,577,409
113年2月,總計,計,17345,10101,7244
113年2月,總計,男,7473,4448,3025
113年2月,總計,女,9872,5653,4219
113年2月,松山區,計,919,513,406
113年2月,松山區,男,383,213,170
113年2月,松山區,女,536,300,236
113年2月,信義區,計,1160,640,520
113年2月,信義區,男,481,267,214
113年2月,信義區,女,679,373,306
113年2月,大安區,計,1158,600,558
113年2月,大安區,男,505,275,230
113年2月,大安區,女,653,325,328
113年2月,中山區,計,1406,795,611
113年2月,中山區,男,584,349,235
113年2月,中山區,女,822,446,376
113年2月,中正區,計,746,422,324
113年2月,中正區,男,339,201,138
113年2月,中正區,女,407,221,186
113年2月,大同區,計,790,426,364
113年2月,大同區,男,355,205,150
113年2月,大同區,女,435,221,214
113年2月,萬華區,計,1456,791,665
113年2月,萬華區,男,628,344,284
113年2月,萬華區,女,828,447,381
113年2月,文山區,計,2253,1222,1031
113年2月,文山區,男,999,535,464
113年2月,文山區,女,1254,687,567
113年2月,南港區,計,1506,1048,458
113年2月,南港區,男,644,452,192
113年2月,南港區,女,862,596,266
113年2月,內湖區,計,2527,1677,850
113年2月,內湖區,男,1078,739,339
113年2月,內湖區,女,1449,938,511
113年2月,士林區,計,1690,939,751
113年2月,士林區,男,737,417,320
113年2月,士林區,女,953,522,431
113年2月,北投區,計,1734,1028,706
113年2月,北投區,男,740,451,289
113年2月,北投區,女,994,577,417
113年3月,總計,計,17513,10159,7354
113年3月,總計,男,7547,4471,3076
113年3月,總計,女,9966,5688,4278
113年3月,松山區,計,927,518,409
113年3月,松山區,男,383,213,170
113年3月,松山區,女,544,305,239
113年3月,信義區,計,1173,648,525
113年3月,信義區,男,491,274,217
113年3月,信義區,女,682,374,308
113年3月,大安區,計,1168,608,560
113年3月,大安區,男,504,273,231
113年3月,大安區,女,664,335,329
113年3月,中山區,計,1425,799,626
113年3月,中山區,男,595,353,242
113年3月,中山區,女,830,446,384
113年3月,中正區,計,757,423,334
113年3月,中正區,男,346,203,143
113年3月,中正區,女,411,220,191
113年3月,大同區,計,811,432,379
113年3月,大同區,男,366,208,158
113年3月,大同區,女,445,224,221
113年3月,萬華區,計,1460,793,667
113年3月,萬華區,男,629,345,284
113年3月,萬華區,女,831,448,383
113年3月,文山區,計,2287,1231,1056
113年3月,文山區,男,1013,540,473
113年3月,文山區,女,1274,691,583
113年3月,南港區,計,1517,1052,465
113年3月,南港區,男,649,453,196
113年3月,南港區,女,868,599,269
113年3月,內湖區,計,2523,1672,851
113年3月,內湖區,男,1076,735,341
113年3月,內湖區,女,1447,937,510
113年3月,士林區,計,1716,949,767
113年3月,士林區,男,744,419,325
113年3月,士林區,女,972,530,442
113年3月,北投區,計,1749,1034,715
113年3月,北投區,男,751,455,296
113年3月,北投區,女,998,579,419
113年4月,總計,計,17684,10239,7445
113年4月,總計,男,7645,4514,3131
113年4月,總計,女,10039,5725,4314
113年4月,松山區,計,940,522,418
113年4月,松山區,男,385,213,172
113年4月,松山區,女,555,309,246
113年4月,信義區,計,1176,651,525
113年4月,信義區,男,493,278,215
113年4月,信義區,女,683,373,310
113年4月,大安區,計,1184,619,565
113年4月,大安區,男,512,278,234
113年4月,大安區,女,672,341,331
113年4月,中山區,計,1425,797,628
113年4月,中山區,男,598,350,248
113年4月,中山區,女,827,447,380
113年4月,中正區,計,764,432,332
113年4月,中正區,男,348,206,142
113年4月,中正區,女,416,226,190
113年4月,大同區,計,825,435,390
113年4月,大同區,男,374,211,163
113年4月,大同區,女,451,224,227
113年4月,萬華區,計,1486,802,684
113年4月,萬華區,男,643,350,293
113年4月,萬華區,女,843,452,391
113年4月,文山區,計,2321,1245,1076
113年4月,文山區,男,1035,546,489
113年4月,文山區,女,1286,699,587
113年4月,南港區,計,1525,1059,466
113年4月,南港區,男,655,458,197
113年4月,南港區,女,870,601,269
113年4月,內湖區,計,2548,1687,861
113年4月,內湖區,男,1090,743,347
113年4月,內湖區,女,1458,944,514
113年4月,士林區,計,1729,958,771
113年4月,士林區,男,753,423,330
113年4月,士林區,女,976,535,441
113年4月,北投區,計,1761,1032,729
113年4月,北投區,男,759,458,301
113年4月,北投區,女,1002,574,428
113年5月,總計,計,17870,10337,7533
113年5月,總計,男,7743,4569,3174
113年5月,總計,女,10127,5768,4359
113年5月,松山區,計,953,535,418
113年5月,松山區,男,392,221,171
113年5月,松山區,女,561,314,247
113年5月,信義區,計,1204,667,537
113年5月,信義區,男,506,285,221
113年5月,信義區,女,698,382,316
113年5月,大安區,計,1190,626,564
113年5月,大安區,男,515,280,235
113年5月,大安區,女,675,346,329
113年5月,中山區,計,1434,798,636
113年5月,中山區,男,604,351,253
113年5月,中山區,女,830,447,383
113年5月,中正區,計,769,433,336
113年5月,中正區,男,350,207,143
113年5月,中正區,女,419,226,193
113年5月,大同區,計,847,437,410
113年5月,大同區,男,383,211,172
113年5月,大同區,女,464,226,238
113年5月,萬華區,計,1510,812,698
113年5月,萬華區,男,653,355,298
113年5月,萬華區,女,857,457,400
113年5月,文山區,計,2339,1258,1081
113年5月,文山區,男,1049,553,496
113年5月,文山區,女,1290,705,585
113年5月,南港區,計,1525,1055,470
113年5月,南港區,男,657,458,199
113年5月,南港區,女,868,597,271
113年5月,內湖區,計,2576,1707,869
113年5月,內湖區,男,1102,756,346
113年5月,內湖區,女,1474,951,523
113年5月,士林區,計,1750,968,782
113年5月,士林區,男,766,429,337
113年5月,士林區,女,984,539,445
113年5月,北投區,計,1773,1041,732
113年5月,北投區,男,766,463,303
113年5月,北投區,女,1007,578,429
113年6月,總計,計,17967,10373,7594
113年6月,總計,男,7788,4584,3204
113年6月,總計,女,10179,5789,4390
113年6月,松山區,計,958,541,417
113年6月,松山區,男,396,224,172
113年6月,松山區,女,562,317,245
113年6月,信義區,計,1220,679,541
113年6月,信義區,男,510,289,221
113年6月,信義區,女,710,390,320
113年6月,大安區,計,1185,627,558
113年6月,大安區,男,514,280,234
113年6月,大安區,女,671,347,324
113年6月,中山區,計,1444,809,635
113年6月,中山區,男,606,356,250
113年6月,中山區,女,838,453,385
113年6月,中正區,計,768,427,341
113年6月,中正區,男,348,202,146
113年6月,中正區,女,420,225,195
113年6月,大同區,計,850,436,414
113年6月,大同區,男,382,210,172
113年6月,大同區,女,468,226,242
113年6月,萬華區,計,1521,816,705
113年6月,萬華區,男,659,359,300
113年6月,萬華區,女,862,457,405
113年6月,文山區,計,2363,1267,1096
113年6月,文山區,男,1059,559,500
113年6月,文山區,女,1304,708,596
113年6月,南港區,計,1519,1043,476
113年6月,南港區,男,656,454,202
113年6月,南港區,女,863,589,274
113年6月,內湖區,計,2595,1716,879
113年6月,內湖區,男,1112,762,350
113年6月,內湖區,女,1483,954,529
113年6月,士林區,計,1770,978,792
113年6月,士林區,男,776,433,343
113年6月,士林區,女,994,545,449
113年6月,北投區,計,1774,1034,740
113年6月,北投區,男,770,456,314
113年6月,北投區,女,1004,578,426
113年7月,總計,計,18082,10433,7649
113年7月,總計,男,7838,4612,3226
113年7月,總計,女,10244,5821,4423
113年7月,松山區,計,966,544,422
113年7月,松山區,男,397,224,173
113年7月,松山區,女,569,320,249
113年7月,信義區,計,1229,683,546
113年7月,信義區,男,513,292,221
113年7月,信義區,女,716,391,325
113年7月,大安區,計,1190,625,565
113年7月,大安區,男,516,279,237
113年7月,大安區,女,674,346,328
113年7月,中山區,計,1448,805,643
113年7月,中山區,男,610,357,253
113年7月,中山區,女,838,448,390
113年7月,中正區,計,771,433,338
113年7月,中正區,男,351,204,147
113年7月,中正區,女,420,229,191
113年7月,大同區,計,862,448,414
113年7月,大同區,男,386,214,172
113年7月,大同區,女,476,234,242
113年7月,萬華區,計,1549,834,715
113年7月,萬華區,男,664,360,304
113年7月,萬華區,女,885,474,411
113年7月,文山區,計,2385,1281,1104
113年7月,文山區,男,1069,566,503
113年7月,文山區,女,1316,715,601
113年7月,南港區,計,1513,1037,476
113年7月,南港區,男,652,451,201
113年7月,南港區,女,861,586,275
113年7月,內湖區,計,2620,1731,889
113年7月,內湖區,男,1127,774,353
113年7月,內湖區,女,1493,957,536
113年7月,士林區,計,1767,974,793
113年7月,士林區,男,778,431,347
113年7月,士林區,女,989,543,446
113年7月,北投區,計,1782,1038,744
113年7月,北投區,男,775,460,315
113年7月,北投區,女,1007,578,429
113年8月,總計,計,18248,10532,7716
113年8月,總計,男,7932,4664,3268
113年8月,總計,女,10316,5868,4448
113年8月,松山區,計,980,548,432
113年8月,松山區,男,404,227,177
113年8月,松山區,女,576,321,255
113年8月,信義區,計,1243,700,543
113年8月,信義區,男,520,301,219
113年8月,信義區,女,723,399,324
113年8月,大安區,計,1201,628,573
113年8月,大安區,男,522,281,241
113年8月,大安區,女,679,347,332
113年8月,中山區,計,1461,822,639
113年8月,中山區,男,618,367,251
113年8月,中山區,女,843,455,388
113年8月,中正區,計,787,443,344
113年8月,中正區,男,363,212,151
113年8月,中正區,女,424,231,193
113年8月,大同區,計,869,451,418
113年8月,大同區,男,393,219,174
113年8月,大同區,女,476,232,244
113年8月,萬華區,計,1557,832,725
113年8月,萬華區,男,662,355,307
113年8月,萬華區,女,895,477,418
113年8月,文山區,計,2426,1299,1127
113年8月,文山區,男,1084,572,512
113年8月,文山區,女,1342,727,615
113年8月,南港區,計,1514,1037,477
113年8月,南港區,男,656,452,204
113年8月,南港區,女,858,585,273
113年8月,內湖區,計,2642,1744,898
113年8月,內湖區,男,1140,776,364
113年8月,內湖區,女,1502,968,534
113年8月,士林區,計,1783,980,803
113年8月,士林區,男,787,435,352
113年8月,士林區,女,996,545,451
113年8月,北投區,計,1785,1048,737
113年8月,北投區,男,783,467,316
113年8月,北投區,女,1002,581,421
113年9月,總計,計,18366,10608,7758
113年9月,總計,男,7995,4706,3289
113年9月,總計,女,10371,5902,4469
113年9月,松山區,計,985,551,434
113年9月,松山區,男,405,230,175
113年9月,松山區,女,580,321,259
113年9月,信義區,計,1253,709,544
113年9月,信義區,男,528,307,221
113年9月,信義區,女,725,402,323
113年9月,大安區,計,1194,624,570
113年9月,大安區,男,523,283,240
113年9月,大安區,女,671,341,330
113年9月,中山區,計,1472,827,645
113年9月,中山區,男,624,367,257
113年9月,中山區,女,848,460,388
113年9月,中正區,計,804,452,352
113年9月,中正區,男,372,217,155
113年9月,中正區,女,432,235,197
113年9月,大同區,計,872,448,424
113年9月,大同區,男,394,218,176
113年9月,大同區,女,478,230,248
113年9月,萬華區,計,1564,840,724
113年9月,萬華區,男,666,358,308
113年9月,萬華區,女,898,482,416
113年9月,文山區,計,2447,1312,1135
113年9月,文山區,男,1097,583,514
113年9月,文山區,女,1350,729,621
113年9月,南港區,計,1525,1044,481
113年9月,南港區,男,662,456,206
113年9月,南港區,女,863,588,275
113年9月,內湖區,計,2653,1750,903
113年9月,內湖區,男,1139,773,366
113年9月,內湖區,女,1514,977,537
113年9月,士林區,計,1797,991,806
113年9月,士林區,男,794,439,355
113年9月,士林區,女,1003,552,451
113年9月,北投區,計,1800,1060,740
113年9月,北投區,男,791,475,316
113年9月,北投區,女,1009,585,424
113年10月,總計,計,18407,10627,7780
113年10月,總計,男,8015,4717,3298
113年10月,總計,女,10392,5910,4482
113年10月,松山區,計,994,556,438
113年10月,松山區,男,405,228,177
113年10月,松山區,女,589,328,261
113年10月,信義區,計,1250,709,541
113年10月,信義區,男,526,306,220
113年10月,信義區,女,724,403,321
113年10月,大安區,計,1194,622,572
113年10月,大安區,男,525,285,240
113年10月,大安區,女,669,337,332
113年10月,中山區,計,1484,831,653
113年10月,中山區,男,631,370,261
113年10月,中山區,女,853,461,392
113年10月,中正區,計,802,449,353
113年10月,中正區,男,372,216,156
113年10月,中正區,女,430,233,197
113年10月,大同區,計,871,448,423
113年10月,大同區,男,393,217,176
113年10月,大同區,女,478,231,247
113年10月,萬華區,計,1559,838,721
113年10月,萬華區,男,662,356,306
113年10月,萬華區,女,897,482,415
113年10月,文山區,計,2462,1324,1138
113年10月,文山區,男,1104,589,515
113年10月,文山區,女,1358,735,623
113年10月,南港區,計,1528,1047,481
113年10月,南港區,男,663,457,206
113年10月,南港區,女,865,590,275
113年10月,內湖區,計,2663,1756,907
113年10月,內湖區,男,1146,777,369
113年10月,內湖區,女,1517,979,538
113年10月,士林區,計,1800,992,808
113年10月,士林區,男,796,440,356
113年10月,士林區,女,1004,552,452
113年10月,北投區,計,1800,1055,745
113年10月,北投區,男,792,476,316
113年10月,北投區,女,1008,579,429
113年11月,總計,計,18461,10669,7792
113年11月,總計,男,8065,4751,3314
113年11月,總計,女,10396,5918,4478
113年11月,松山區,計,990,553,437
113年11月,松山區,男,400,223,177
113年11月,松山區,女,590,330,260
113年11月,信義區,計,1274,725,549
113年11月,信義區,男,540,316,224
113年11月,信義區,女,734,409,325
113年11月,大安區,計,1199,623,576
113年11月,大安區,男,527,285,242
113年11月,大安區,女,672,338,334
113年11月,中山區,計,1496,835,661
113年11月,中山區,男,638,371,267
113年11月,中山區,女,858,464,394
113年11月,中正區,計,802,448,354
113年11月,中正區,男,377,219,158
113年11月,中正區,女,425,229,196
113年11月,大同區,計,861,445,416
113年11月,大同區,男,390,214,176
113年11月,大同區,女,471,231,240
113年11月,萬華區,計,1566,840,726
113年11月,萬華區,男,666,357,309
113年11月,萬華區,女,900,483,417
113年11月,文山區,計,2462,1333,1129
113年11月,文山區,男,1110,598,512
113年11月,文山區,女,1352,735,617
113年11月,南港區,計,1527,1050,477
113年11月,南港區,男,665,462,203
113年11月,南港區,女,862,588,274
113年11月,內湖區,計,2660,1754,906
113年11月,內湖區,男,1149,779,370
113年11月,內湖區,女,1511,975,536
113年11月,士林區,計,1816,1007,809
113年11月,士林區,男,803,446,357
113年11月,士林區,女,1013,561,452
113年11月,北投區,計,1808,1056,752
113年11月,北投區,男,800,481,319
113年11月,北投區,女,1008,575,433
113年12月,總計,計,18543,10702,7841
113年12月,總計,男,8104,4769,3335
113年12月,總計,女,10439,5933,4506
113年12月,松山區,計,1004,552,452
113年12月,松山區,男,405,223,182
113年12月,松山區,女,599,329,270
113年12月,信義區,計,1277,727,550
113年12月,信義區,男,545,318,227
113年12月,信義區,女,732,409,323
113年12月,大安區,計,1205,621,584
113年12月,大安區,男,530,283,247
113年12月,大安區,女,675,338,337
113年12月,中山區,計,1492,832,660
113年12月,中山區,男,640,371,269
113年12月,中山區,女,852,461,391
113年12月,中正區,計,801,450,351
113年12月,中正區,男,377,221,156
113年12月,中正區,女,424,229,195
113年12月,大同區,計,858,448,410
113年12月,大同區,男,388,215,173
113年12月,大同區,女,470,233,237
113年12月,萬華區,計,1578,847,731
113年12月,萬華區,男,674,360,314
113年12月,萬華區,女,904,487,417
113年12月,文山區,計,2493,1345,1148
113年12月,文山區,男,1117,604,513
113年12月,文山區,女,1376,741,635
113年12月,南港區,計,1537,1056,481
113年12月,南港區,男,672,466,206
113年12月,南港區,女,865,590,275
113年12月,內湖區,計,2662,1756,906
113年12月,內湖區,男,1146,778,368
113年12月,內湖區,女,1516,978,538
113年12月,士林區,計,1817,1008,809
113年12月,士林區,男,805,447,358
113年12月,士林區,女,1012,561,451
113年12月,北投區,計,1819,1060,759
113年12月,北投區,男,805,483,322
113年12月,北投區,女,1014,577,437
114年1月,總計,計,18606,10731,7875
114年1月,總計,男,8145,4792,3353
114年1月,總計,女,10461,5939,4522
114年1月,松山區,計,1011,557,454
114年1月,松山區,男,411,227,184
114年1月,松山區,女,600,330,270
114年1月,信義區,計,1278,728,550
114年1月,信義區,男,548,320,228
114年1月,信義區,女,730,408,322
114年1月,大安區,計,1214,621,593
114年1月,大安區,男,538,288,250
114年1月,大安區,女,676,333,343
114年1月,中山區,計,1500,835,665
114年1月,中山區,男,644,371,273
114年1月,中山區,女,856,464,392
114年1月,中正區,計,809,448,361
114年1月,中正區,男,377,219,158
114年1月,中正區,女,432,229,203
114年1月,大同區,計,864,451,413
114年1月,大同區,男,392,219,173
114年1月,大同區,女,472,232,240
114年1月,萬華區,計,1578,848,730
114年1月,萬華區,男,678,364,314
114年1月,萬華區,女,900,484,416
114年1月,文山區,計,2494,1348,1146
114年1月,文山區,男,1120,607,513
114年1月,文山區,女,1374,741,633
114年1月,南港區,計,1541,1063,478
114年1月,南港區,男,670,465,205
114年1月,南港區,女,871,598,273
114年1月,內湖區,計,2666,1758,908
114年1月,內湖區,男,1147,779,368
114年1月,內湖區,女,1519,979,540
114年1月,士林區,計,1825,1011,814
114年1月,士林區,男,809,446,363
114年1月,士林區,女,1016,565,451
114年1月,北投區,計,1826,1063,763
114年1月,北投區,男,811,487,324
114年1月,北投區,女,1015,576,439
114年2月,總計,計,18678,10787,7891
114年2月,總計,男,8197,4827,3370
114年2月,總計,女,10481,5960,4521
114年2月,松山區,計,1007,560,447
114年2月,松山區,男,413,231,182
114年2月,松山區,女,594,329,265
114年2月,信義區,計,1292,737,555
114年2月,信義區,男,552,324,228
114年2月,信義區,女,740,413,327
114年2月,大安區,計,1226,631,595
114年2月,大安區,男,542,291,251
114年2月,大安區,女,684,340,344
114年2月,中山區,計,1493,828,665
114年2月,中山區,男,639,365,274
114年2月,中山區,女,854,463,391
114年2月,中正區,計,810,449,361
114年2月,中正區,男,379,221,158
114年2月,中正區,女,431,228,203
114年2月,大同區,計,875,453,422
114年2月,大同區,男,398,218,180
114年2月,大同區,女,477,235,242
114年2月,萬華區,計,1580,846,734
114年2月,萬華區,男,685,369,316
114年2月,萬華區,女,895,477,418
114年2月,文山區,計,2517,1365,1152
114年2月,文山區,男,1135,613,522
114年2月,文山區,女,1382,752,630
114年2月,南港區,計,1543,1065,478
114年2月,南港區,男,670,464,206
114年2月,南港區,女,873,601,272
114年2月,內湖區,計,2661,1758,903
114年2月,內湖區,男,1143,780,363
114年2月,內湖區,女,1518,978,540
114年2月,士林區,計,1836,1021,815
114年2月,士林區,男,818,454,364
114年2月,士林區,女,1018,567,451
114年2月,北投區,計,1838,1074,764
114年2月,北投區,男,823,497,326
114年2月,北投區,女,1015,577,438
114年3月,總計,計,18677,10794,7883
114年3月,總計,男,8187,4829,3358
114年3月,總計,女,10490,5965,4525
114年3月,松山區,計,1005,564,441
114年3月,松山區,男,409,232,177
114年3月,松山區,女,596,332,264
114年3月,信義區,計,1298,742,556
114年3月,信義區,男,555,328,227
114年3月,信義區,女,743,414,329
114年3月,大安區,計,1232,634,598
114年3月,大安區,男,545,293,252
114年3月,大安區,女,687,341,346
114年3月,中山區,計,1485,828,657
114年3月,中山區,男,631,362,269
114年3月,中山區,女,854,466,388
114年3月,中正區,計,791,436,355
114年3月,中正區,男,371,216,155
114年3月,中正區,女,420,220,200
114年3月,大同區,計,870,453,417
114年3月,大同區,男,396,218,178
114年3月,大同區,女,474,235,239
114年3月,萬華區,計,1588,847,741
114年3月,萬華區,男,691,371,320
114年3月,萬華區,女,897,476,421
114年3月,文山區,計,2524,1369,1155
114年3月,文山區,男,1136,616,520
114年3月,文山區,女,1388,753,635
114年3月,南港區,計,1527,1057,470
114年3月,南港區,男,664,461,203
114年3月,南港區,女,863,596,267
114年3月,內湖區,計,2669,1763,906
114年3月,內湖區,男,1146,781,365
114年3月,內湖區,女,1523,982,541
114年3月,士林區,計,1843,1026,817
114年3月,士林區,男,821,456,365
114年3月,士林區,女,1022,570,452
114年3月,北投區,計,1845,1075,770
114年3月,北投區,男,822,495,327
114年3月,北投區,女,1023,580,443
114年4月,總計,計,18756,10843,7913
114年4月,總計,男,8218,4847,3371
114年4月,總計,女,10538,5996,4542
114年4月,松山區,計,1012,568,444
114年4月,松山區,男,412,234,178
114年4月,松山區,女,600,334,266
114年4月,信義區,計,1326,761,565
114年4月,信義區,男,565,337,228
114年4月,信義區,女,761,424,337
114年4月,大安區,計,1235,637,598
114年4月,大安區,男,543,292,251
114年4月,大安區,女,692,345,347
114年4月,中山區,計,1497,831,666
114年4月,中山區,男,638,362,276
114年4月,中山區,女,859,469,390
114年4月,中正區,計,789,436,353
114年4月,中正區,男,369,214,155
114年4月,中正區,女,420,222,198
114年4月,大同區,計,862,451,411
114年4月,大同區,男,394,218,176
114年4月,大同區,女,468,233,235
114年4月,萬華區,計,1597,854,743
114年4月,萬華區,男,699,378,321
114年4月,萬華區,女,898,476,422
114年4月,文山區,計,2531,1371,1160
114年4月,文山區,男,1141,619,522
114年4月,文山區,女,1390,752,638
114年4月,南港區,計,1531,1056,475
114年4月,南港區,男,665,460,205
114年4月,南港區,女,866,596,270
114年4月,內湖區,計,2667,1771,896
114年4月,內湖區,男,1142,782,360
114年4月,內湖區,女,1525,989,536
114年4月,士林區,計,1857,1034,823
114年4月,士林區,男,825,457,368
114年4月,士林區,女,1032,577,455
