year,month,district,gender,total,population_plains,population_mountains
110,10,北投區,計,1689,1002,687
110,10,南港區,女,839,572,267
110,10,南港區,男,663,475,188
110,10,南港區,計,1502,1047,455
110,10,士林區,女,979,546,433
110,10,士林區,男,727,427,300
110,10,士林區,計,1706,973,733
110,10,大同區,女,422,227,195
110,10,大同區,男,347,187,160
110,10,大同區,計,769,414,355
110,10,大安區,女,652,334,318
110,10,大安區,男,478,267,211
110,10,大安區,計,1130,601,529
110,10,文山區,女,1231,661,570
110,10,文山區,男,965,518,447
110,10,文山區,計,2196,1179,1017
110,10,松山區,女,550,303,247
110,10,松山區,男,389,218,171
110,10,松山區,計,939,521,418
110,10,總計,女,9769,5551,4218
110,10,總計,男,7280,4357,2923
110,10,總計,計,17049,9908,7141
110,10,萬華區,女,800,419,381
110,10,萬華區,男,593,319,274
110,10,萬華區,計,1393,738,655
110,11,中山區,女,848,439,409
110,11,中山區,男,550,323,227
110,11,中山區,計,1398,762,636
110,11,中正區,女,425,234,191
110,11,中正區,男,353,214,139
110,11,中正區,計,778,448,330
110,11,信義區,女,662,357,305
110,11,信義區,男,451,254,197
110,11,信義區,計,1113,611,502
110,11,內湖區,女,1404,908,496
110,11,內湖區,男,1048,713,335
110,11,內湖區,計,2452,1621,831
110,11,北投區,女,961,552,409
110,11,北投區,男,728,452,276
110,11,北投區,計,1689,1004,685
110,11,南港區,女,831,566,265
110,11,南港區,男,658,470,188
110,11,南港區,計,1489,1036,453
110,11,士林區,女,980,547,433
110,11,士林區,男,733,429,304
110,11,士林區,計,1713,976,737
110,11,大同區,女,417,223,194
110,11,大同區,男,349,189,160
110,11,大同區,計,766,412,354
110,11,大安區,女,655,337,318
110,11,大安區,男,478,267,211
110,11,大安區,計,1133,604,529
110,11,文山區,女,1229,662,567
110,11,文山區,男,966,519,447
110,11,文山區,計,2195,1181,1014
110,11,松山區,女,549,303,246
110,11,松山區,男,394,222,172
110,11,松山區,計,943,525,418
110,11,總計,女,9759,5546,4213
110,11,總計,男,7302,4373,2929
110,11,總計,計,17061,9919,7142
110,11,萬華區,女,798,418,380
110,11,萬華區,男,594,321,273
110,11,萬華區,計,1392,739,653
110,12,中山區,女,844,441,403
110,12,中山區,男,555,325,230
110,12,中山區,計,1399,766,633
110,12,中正區,女,424,232,192
110,12,中正區,男,349,213,136
110,12,中正區,計,773,445,328
110,12,信義區,女,656,353,303
110,12,信義區,男,448,253,195
110,12,信義區,計,1104,606,498
110,12,內湖區,女,1407,903,504
110,12,內湖區,男,1047,711,336
110,12,內湖區,計,2454,1614,840
110,12,北投區,女,961,553,408
110,12,北投區,男,729,451,278
110,12,北投區,計,1690,1004,686
110,12,南港區,女,828,565,263
110,12,南港區,男,660,471,189
110,12,南港區,計,1488,1036,452
110,12,士林區,女,982,548,434
110,12,士林區,男,737,433,304
110,12,士林區,計,1719,981,738
110,12,大同區,女,416,222,194
110,12,大同區,男,350,190,160
110,12,大同區,計,766,412,354
110,12,大安區,女,655,335,320
110,12,大安區,男,474,266,208
110,12,大安區,計,1129,601,528
110,12,文山區,女,1236,674,562
110,12,文山區,男,974,523,451
110,12,文山區,計,2210,1197,1013
110,12,松山區,女,555,304,251
110,12,松山區,男,391,221,170
110,12,松山區,計,946,525,421
110,12,總計,女,9762,5551,4211
110,12,總計,男,7311,4383,2928
110,12,總計,計,17073,9934,7139
110,12,萬華區,女,798,421,377
110,12,萬華區,男,597,326,271
110,12,萬華區,計,1395,747,648
111,1,中山區,女,833,433,400
111,1,中山區,男,558,325,233
111,1,中山區,計,1391,758,633
111,1,中正區,女,424,232,192
111,1,中正區,男,344,213,131
111,1,中正區,計,768,445,323
111,1,信義區,女,654,353,301
111,1,信義區,男,446,253,193
111,1,信義區,計,1100,606,494
111,1,內湖區,女,1413,905,508
111,1,內湖區,男,1047,711,336
111,1,內湖區,計,2460,1616,844
111,1,北投區,女,963,556,407
111,1,北投區,男,732,455,277
111,1,北投區,計,1695,1011,684
111,1,南港區,女,830,569,261
111,1,南港區,男,657,469,188
111,1,南港區,計,1487,1038,449
111,1,士林區,女,974,543,431
111,1,士林區,男,734,431,303
111,1,士林區,計,1708,974,734
111,1,大同區,女,417,223,194
111,1,大同區,男,349,190,159
111,1,大同區,計,766,413,353
111,1,大安區,女,651,334,317
111,1,大安區,男,475,267,208
111,1,大安區,計,1126,601,525
111,1,文山區,女,1234,674,560
111,1,文山區,男,965,517,448
111,1,文山區,計,2199,1191,1008
111,1,松山區,女,550,302,248
111,1,松山區,男,390,218,172
111,1,松山區,計,940,520,420
111,1,總計,女,9743,5546,4197
111,1,總計,男,7295,4373,2922
111,1,總計,計,17038,9919,7119
111,1,萬華區,女,800,422,378
111,1,萬華區,男,598,324,274
111,1,萬華區,計,1398,746,652
111,2,中山區,女,828,429,399
111,2,中山區,男,559,326,233
111,2,中山區,計,1387,755,632
111,2,中正區,女,421,233,188
111,2,中正區,男,341,209,132
111,2,中正區,計,762,442,320
111,2,信義區,女,654,352,302
111,2,信義區,男,445,252,193
111,2,信義區,計,1099,604,495
111,2,內湖區,女,1414,907,507
111,2,內湖區,男,1049,715,334
111,2,內湖區,計,2463,1622,841
111,2,北投區,女,955,547,408
111,2,北投區,男,732,455,277
111,2,北投區,計,1687,1002,685
111,2,南港區,女,829,569,260
111,2,南港區,男,656,469,187
111,2,南港區,計,1485,1038,447
111,2,士林區,女,979,546,433
111,2,士林區,男,735,433,302
111,2,士林區,計,1714,979,735
111,2,大同區,女,421,223,198
111,2,大同區,男,349,188,161
111,2,大同區,計,770,411,359
111,2,大安區,女,649,333,316
111,2,大安區,男,479,270,209
111,2,大安區,計,1128,603,525
111,2,文山區,女,1229,672,557
111,2,文山區,男,959,517,442
111,2,文山區,計,2188,1189,999
111,2,松山區,女,548,300,248
111,2,松山區,男,387,216,171
111,2,松山區,計,935,516,419
111,2,總計,女,9723,5531,4192
111,2,總計,男,7289,4379,2910
111,2,總計,計,17012,9910,7102
111,2,萬華區,女,796,420,376
111,2,萬華區,男,598,329,269
111,2,萬華區,計,1394,749,645
111,3,中山區,女,829,427,402
111,3,中山區,男,561,328,233
111,3,中山區,計,1390,755,635
111,3,中正區,女,415,233,182
111,3,中正區,男,344,211,133
111,3,中正區,計,759,444,315
111,3,信義區,女,652,351,301
111,3,信義區,男,443,250,193
111,3,信義區,計,1095,601,494
111,3,內湖區,女,1428,914,514
111,3,內湖區,男,1056,723,333
111,3,內湖區,計,2484,1637,847
111,3,北投區,女,956,551,405
111,3,北投區,男,725,453,272
111,3,北投區,計,1681,1004,677
111,3,南港區,女,829,570,259
111,3,南港區,男,653,468,185
111,3,南港區,計,1482,1038,444
111,3,士林區,女,975,545,430
111,3,士林區,男,731,429,302
111,3,士林區,計,1706,974,732
111,3,大同區,女,421,220,201
111,3,大同區,男,347,185,162
111,3,大同區,計,768,405,363
111,3,大安區,女,647,334,313
111,3,大安區,男,479,270,209
111,3,大安區,計,1126,604,522
111,3,文山區,女,1224,673,551
111,3,文山區,男,949,510,439
111,3,文山區,計,2173,1183,990
111,3,松山區,女,545,299,246
111,3,松山區,男,383,214,169
111,3,松山區,計,928,513,415
111,3,總計,女,9715,5536,4179
111,3,總計,男,7271,4369,2902
111,3,總計,計,16986,9905,7081
111,3,萬華區,女,794,419,375
111,3,萬華區,男,600,328,272
111,3,萬華區,計,1394,747,647
111,4,中山區,女,826,426,400
111,4,中山區,男,562,329,233
111,4,中山區,計,1388,755,633
111,4,中正區,女,413,232,181
111,4,中正區,男,342,208,134
111,4,中正區,計,755,440,315
111,4,信義區,女,652,347,305
111,4,信義區,男,437,249,188
111,4,信義區,計,1089,596,493
111,4,內湖區,女,1415,907,508
111,4,內湖區,男,1054,723,331
111,4,內湖區,計,2469,1630,839
111,4,北投區,女,959,556,403
111,4,北投區,男,728,456,272
111,4,北投區,計,1687,1012,675
111,4,南港區,女,837,574,263
111,4,南港區,男,655,467,188
111,4,南港區,計,1492,1041,451
111,4,士林區,女,974,539,435
111,4,士林區,男,733,430,303
111,4,士林區,計,1707,969,738
111,4,大同區,女,418,218,200
111,4,大同區,男,345,183,162
111,4,大同區,計,763,401,362
111,4,大安區,女,644,333,311
111,4,大安區,男,477,270,207
111,4,大安區,計,1121,603,518
111,4,文山區,女,1216,669,547
111,4,文山區,男,957,509,448
111,4,文山區,計,2173,1178,995
111,4,松山區,女,538,297,241
111,4,松山區,男,382,215,167
111,4,松山區,計,920,512,408
111,4,總計,女,9684,5516,4168
111,4,總計,男,7278,4370,2908
111,4,總計,計,16962,9886,7076
111,4,萬華區,女,792,418,374
111,4,萬華區,男,606,331,275
111,4,萬華區,計,1398,749,649
111,5,中山區,女,811,422,389
111,5,中山區,男,568,333,235
111,5,中山區,計,1379,755,624
111,5,中正區,女,409,231,178
111,5,中正區,男,343,209,134
111,5,中正區,計,752,440,312
111,5,信義區,女,647,344,303
111,5,信義區,男,432,246,186
111,5,信義區,計,1079,590,489
111,5,內湖區,女,1413,908,505
111,5,內湖區,男,1062,728,334
111,5,內湖區,計,2475,1636,839
111,5,北投區,女,968,561,407
111,5,北投區,男,726,455,271
111,5,北投區,計,1694,1016,678
111,5,南港區,女,845,575,270
111,5,南港區,男,656,464,192
111,5,南港區,計,1501,1039,462
111,5,士林區,女,969,536,433
111,5,士林區,男,729,425,304
111,5,士林區,計,1698,961,737
111,5,大同區,女,418,218,200
111,5,大同區,男,345,184,161
111,5,大同區,計,763,402,361
111,5,大安區,女,647,330,317
111,5,大安區,男,477,268,209
111,5,大安區,計,1124,598,526
111,5,文山區,女,1212,662,550
111,5,文山區,男,963,512,451
111,5,文山區,計,2175,1174,1001
111,5,松山區,女,535,296,239
111,5,松山區,男,381,214,167
111,5,松山區,計,916,510,406
111,5,總計,女,9667,5504,4163
111,5,總計,男,7287,4367,2920
111,5,總計,計,16954,9871,7083
111,5,萬華區,女,793,421,372
111,5,萬華區,男,605,329,276
111,5,萬華區,計,1398,750,648
111,6,中山區,女,804,418,386
111,6,中山區,男,565,333,232
111,6,中山區,計,1369,751,618
111,6,中正區,女,407,228,179
111,6,中正區,男,341,205,136
111,6,中正區,計,748,433,315
111,6,信義區,女,650,346,304
111,6,信義區,男,435,249,186
111,6,信義區,計,1085,595,490
111,6,內湖區,女,1422,914,508
111,6,內湖區,男,1062,727,335
111,6,內湖區,計,2484,1641,843
111,6,北投區,女,973,566,407
111,6,北投區,男,727,455,272
111,6,北投區,計,1700,1021,679
111,6,南港區,女,844,574,270
111,6,南港區,男,660,467,193
111,6,南港區,計,1504,1041,463
111,6,士林區,女,960,533,427
111,6,士林區,男,724,424,300
111,6,士林區,計,1684,957,727
111,6,大同區,女,419,219,200
111,6,大同區,男,345,188,157
111,6,大同區,計,764,407,357
111,6,大安區,女,638,324,314
111,6,大安區,男,468,265,203
111,6,大安區,計,1106,589,517
111,6,文山區,女,1212,666,546
111,6,文山區,男,967,515,452
111,6,文山區,計,2179,1181,998
111,6,松山區,女,538,300,238
111,6,松山區,男,382,214,168
111,6,松山區,計,920,514,406
111,6,總計,女,9660,5508,4152
111,6,總計,男,7282,4374,2908
111,6,總計,計,16942,9882,7060
111,6,萬華區,女,793,420,373
111,6,萬華區,男,606,332,274
111,6,萬華區,計,1399,752,647
111,7,中山區,女,808,422,386
111,7,中山區,男,566,334,232
111,7,中山區,計,1374,756,618
111,7,中正區,女,399,221,178
111,7,中正區,男,344,205,139
111,7,中正區,計,743,426,317
111,7,信義區,女,641,344,297
111,7,信義區,男,433,247,186
111,7,信義區,計,1074,591,483
111,7,內湖區,女,1420,912,508
111,7,內湖區,男,1061,725,336
111,7,內湖區,計,2481,1637,844
111,7,北投區,女,982,570,412
111,7,北投區,男,721,447,274
111,7,北投區,計,1703,1017,686
111,7,南港區,女,847,579,268
111,7,南港區,男,661,467,194
111,7,南港區,計,1508,1046,462
111,7,士林區,女,964,533,431
111,7,士林區,男,726,424,302
111,7,士林區,計,1690,957,733
111,7,大同區,女,418,219,199
111,7,大同區,男,334,184,150
111,7,大同區,計,752,403,349
111,7,大安區,女,630,319,311
111,7,大安區,男,469,266,203
111,7,大安區,計,1099,585,514
111,7,文山區,女,1219,672,547
111,7,文山區,男,965,514,451
111,7,文山區,計,2184,1186,998
111,7,松山區,女,535,299,236
111,7,松山區,男,379,213,166
111,7,松山區,計,914,512,402
111,7,總計,女,9659,5510,4149
111,7,總計,男,7267,4359,2908
111,7,總計,計,16926,9869,7057
111,7,萬華區,女,796,420,376
111,7,萬華區,男,608,333,275
111,7,萬華區,計,1404,753,651
111,8,中山區,女,809,423,386
111,8,中山區,男,569,335,234
111,8,中山區,計,1378,758,620
111,8,中正區,女,405,219,186
111,8,中正區,男,343,203,140
111,8,中正區,計,748,422,326
111,8,信義區,女,645,346,299
111,8,信義區,男,433,249,184
111,8,信義區,計,1078,595,483
111,8,內湖區,女,1429,919,510
111,8,內湖區,男,1064,725,339
111,8,內湖區,計,2493,1644,849
111,8,北投區,女,985,573,412
111,8,北投區,男,721,444,277
111,8,北投區,計,1706,1017,689
111,8,南港區,女,850,582,268
111,8,南港區,男,659,466,193
111,8,南港區,計,1509,1048,461
111,8,士林區,女,961,535,426
111,8,士林區,男,721,421,300
111,8,士林區,計,1682,956,726
111,8,大同區,女,427,223,204
111,8,大同區,男,336,188,148
111,8,大同區,計,763,411,352
111,8,大安區,女,625,315,310
111,8,大安區,男,464,258,206
111,8,大安區,計,1089,573,516
111,8,文山區,女,1219,674,545
111,8,文山區,男,961,514,447
111,8,文山區,計,2180,1188,992
111,8,松山區,女,536,299,237
111,8,松山區,男,379,213,166
111,8,松山區,計,915,512,403
111,8,總計,女,9683,5527,4156
111,8,總計,男,7263,4353,2910
111,8,總計,計,16946,9880,7066
111,8,萬華區,女,792,419,373
111,8,萬華區,男,613,337,276
111,8,萬華區,計,1405,756,649
111,9,中山區,女,810,424,386
111,9,中山區,男,566,333,233
111,9,中山區,計,1376,757,619
111,9,中正區,女,407,220,187
111,9,中正區,男,340,201,139
111,9,中正區,計,747,421,326
111,9,信義區,女,647,350,297
111,9,信義區,男,442,253,189
111,9,信義區,計,1089,603,486
111,9,內湖區,女,1428,921,507
111,9,內湖區,男,1055,719,336
111,9,內湖區,計,2483,1640,843
111,9,北投區,女,982,571,411
111,9,北投區,男,723,446,277
111,9,北投區,計,1705,1017,688
111,9,南港區,女,850,580,270
111,9,南港區,男,660,468,192
111,9,南港區,計,1510,1048,462
111,9,士林區,女,960,534,426
111,9,士林區,男,723,420,303
111,9,士林區,計,1683,954,729
111,9,大同區,女,428,223,205
111,9,大同區,男,334,186,148
111,9,大同區,計,762,409,353
111,9,大安區,女,625,318,307
111,9,大安區,男,474,260,214
111,9,大安區,計,1099,578,521
111,9,文山區,女,1225,678,547
111,9,文山區,男,969,520,449
111,9,文山區,計,2194,1198,996
111,9,松山區,女,536,297,239
111,9,松山區,男,375,209,166
111,9,松山區,計,911,506,405
111,9,總計,女,9691,5538,4153
111,9,總計,男,7271,4349,2922
111,9,總計,計,16962,9887,7075
111,9,萬華區,女,793,422,371
111,9,萬華區,男,610,334,276
111,9,萬華區,計,1403,756,647
111,10,中山區,女,815,428,387
111,10,中山區,男,566,331,235
111,10,中山區,計,1381,759,622
111,10,中正區,女,410,223,187
111,10,中正區,男,341,201,140
111,10,中正區,計,751,424,327
111,10,信義區,女,649,352,297
111,10,信義區,男,444,255,189
111,10,信義區,計,1093,607,486
111,10,內湖區,女,1424,919,505
111,10,內湖區,男,1055,720,335
111,10,內湖區,計,2479,1639,840
111,10,北投區,女,977,573,404
111,10,北投區,男,719,444,275
111,10,北投區,計,1696,1017,679
111,10,南港區,女,854,585,269
111,10,南港區,男,659,467,192
111,10,南港區,計,1513,1052,461
111,10,士林區,女,961,536,425
111,10,士林區,男,727,423,304
111,10,士林區,計,1688,959,729
111,10,大同區,女,431,224,207
111,10,大同區,男,333,186,147
111,10,大同區,計,764,410,354
111,10,大安區,女,629,321,308
111,10,大安區,男,470,260,210
111,10,大安區,計,1099,581,518
111,10,文山區,女,1226,676,550
111,10,文山區,男,968,519,449
111,10,文山區,計,2194,1195,999
111,10,松山區,女,537,297,240
111,10,松山區,男,371,204,167
111,10,松山區,計,908,501,407
111,10,總計,女,9711,5562,4149
111,10,總計,男,7260,4342,2918
111,10,總計,計,16971,9904,7067
111,10,萬華區,女,798,428,370
111,10,萬華區,男,607,332,275
111,10,萬華區,計,1405,760,645
111,11,中山區,女,817,429,388
111,11,中山區,男,570,331,239
111,11,中山區,計,1387,760,627
111,11,中正區,女,412,223,189
111,11,中正區,男,338,199,139
111,11,中正區,計,750,422,328
111,11,信義區,女,643,348,295
111,11,信義區,男,441,253,188
111,11,信義區,計,1084,601,483
111,11,內湖區,女,1426,920,506
111,11,內湖區,男,1055,718,337
111,11,內湖區,計,2481,1638,843
111,11,北投區,女,976,573,403
111,11,北投區,男,723,445,278
111,11,北投區,計,1699,1018,681
111,11,南港區,女,855,587,268
111,11,南港區,男,660,468,192
111,11,南港區,計,1515,1055,460
111,11,士林區,女,961,536,425
111,11,士林區,男,728,421,307
111,11,士林區,計,1689,957,732
111,11,大同區,女,434,228,206
111,11,大同區,男,334,187,147
111,11,大同區,計,768,415,353
111,11,大安區,女,631,321,310
111,11,大安區,男,473,261,212
111,11,大安區,計,1104,582,522
111,11,文山區,女,1244,681,563
111,11,文山區,男,969,521,448
111,11,文山區,計,2213,1202,1011
111,11,松山區,女,536,297,239
111,11,松山區,男,371,204,167
111,11,松山區,計,907,501,406
111,11,總計,女,9726,5571,4155
111,11,總計,男,7268,4339,2929
111,11,總計,計,16994,9910,7084
111,11,萬華區,女,791,428,363
111,11,萬華區,男,606,331,275
111,11,萬華區,計,1397,759,638
111,12,中山區,女,815,430,385
111,12,中山區,男,568,332,236
111,12,中山區,計,1383,762,621
111,12,中正區,女,407,224,183
111,12,中正區,男,337,199,138
111,12,中正區,計,744,423,321
111,12,信義區,女,649,348,301
111,12,信義區,男,448,255,193
111,12,信義區,計,1097,603,494
111,12,內湖區,女,1428,921,507
111,12,內湖區,男,1065,725,340
111,12,內湖區,計,2493,1646,847
111,12,北投區,女,976,570,406
111,12,北投區,男,716,442,274
111,12,北投區,計,1692,1012,680
111,12,南港區,女,846,582,264
111,12,南港區,男,648,459,189
111,12,南港區,計,1494,1041,453
111,12,士林區,女,961,534,427
111,12,士林區,男,730,422,308
111,12,士林區,計,1691,956,735
111,12,大同區,女,432,226,206
111,12,大同區,男,337,190,147
111,12,大同區,計,769,416,353
111,12,大安區,女,629,318,311
111,12,大安區,男,473,261,212
111,12,大安區,計,1102,579,523
111,12,文山區,女,1246,683,563
111,12,文山區,男,965,520,445
111,12,文山區,計,2211,1203,1008
111,12,松山區,女,537,297,240
111,12,松山區,男,372,204,168
111,12,松山區,計,909,501,408
111,12,總計,女,9713,5559,4154
111,12,總計,男,7265,4341,2924
111,12,總計,計,16978,9900,7078
111,12,萬華區,女,787,426,361
111,12,萬華區,男,606,332,274
111,12,萬華區,計,1393,758,635
112,1,中山區,女,817,430,387
112,1,中山區,男,576,336,240
112,1,中山區,計,1393,766,627
112,1,中正區,女,401,223,178
112,1,中正區,男,336,199,137
112,1,中正區,計,737,422,315
112,1,信義區,女,647,346,301
112,1,信義區,男,446,253,193
112,1,信義區,計,1093,599,494
112,1,內湖區,女,1435,925,510
112,1,內湖區,男,1063,725,338
112,1,內湖區,計,2498,1650,848
112,1,北投區,女,973,571,402
112,1,北投區,男,716,441,275
112,1,北投區,計,1689,1012,677
112,1,南港區,女,849,581,268
112,1,南港區,男,645,458,187
112,1,南港區,計,1494,1039,455
112,1,士林區,女,966,539,427
112,1,士林區,男,730,422,308
112,1,士林區,計,1696,961,735
112,1,大同區,女,428,227,201
112,1,大同區,男,333,192,141
112,1,大同區,計,761,419,342
112,1,大安區,女,636,322,314
112,1,大安區,男,479,262,217
112,1,大安區,計,1115,584,531
112,1,文山區,女,1250,684,566
112,1,文山區,男,963,516,447
112,1,文山區,計,2213,1200,1013
112,1,松山區,女,538,298,240
112,1,松山區,男,370,204,166
112,1,松山區,計,908,502,406
112,1,總計,女,9730,5573,4157
112,1,總計,男,7260,4340,2920
112,1,總計,計,16990,9913,7077
112,1,萬華區,女,790,427,363
112,1,萬華區,男,603,332,271
112,1,萬華區,計,1393,759,634
112,2,中山區,女,821,433,388
112,2,中山區,男,571,333,238
112,2,中山區,計,1392,766,626
112,2,中正區,女,402,223,179
112,2,中正區,男,335,199,136
112,2,中正區,計,737,422,315
112,2,信義區,女,644,348,296
112,2,信義區,男,450,256,194
112,2,信義區,計,1094,604,490
112,2,內湖區,女,1437,925,512
112,2,內湖區,男,1061,723,338
112,2,內湖區,計,2498,1648,850
112,2,北投區,女,978,576,402
112,2,北投區,男,723,442,281
112,2,北投區,計,1701,1018,683
112,2,南港區,女,844,577,267
112,2,南港區,男,648,460,188
112,2,南港區,計,1492,1037,455
112,2,士林區,女,959,537,422
112,2,士林區,男,731,422,309
112,2,士林區,計,1690,959,731
112,2,大同區,女,427,226,201
112,2,大同區,男,334,193,141
112,2,大同區,計,761,419,342
112,2,大安區,女,637,322,315
112,2,大安區,男,473,259,214
112,2,大安區,計,1110,581,529
112,2,文山區,女,1251,687,564
112,2,文山區,男,961,514,447
112,2,文山區,計,2212,1201,1011
112,2,松山區,女,538,299,239
112,2,松山區,男,369,204,165
112,2,松山區,計,907,503,404
112,2,總計,女,9729,5579,4150
112,2,總計,男,7256,4332,2924
112,2,總計,計,16985,9911,7074
112,2,萬華區,女,791,426,365
112,2,萬華區,男,600,327,273
112,2,萬華區,計,1391,753,638
112,3,中山區,女,818,434,384
112,3,中山區,男,573,336,237
112,3,中山區,計,1391,770,621
112,3,中正區,女,396,218,178
112,3,中正區,男,333,200,133
112,3,中正區,計,729,418,311
112,3,信義區,女,658,354,304
112,3,信義區,男,458,262,196
112,3,信義區,計,1116,616,500
112,3,內湖區,女,1439,924,515
112,3,內湖區,男,1068,727,341
112,3,內湖區,計,2507,1651,856
112,3,北投區,女,974,576,398
112,3,北投區,男,727,444,283
112,3,北投區,計,1701,1020,681
112,3,南港區,女,835,574,261
112,3,南港區,男,635,451,184
112,3,南港區,計,1470,1025,445
112,3,士林區,女,959,539,420
112,3,士林區,男,725,419,306
112,3,士林區,計,1684,958,726
112,3,大同區,女,428,227,201
112,3,大同區,男,337,196,141
112,3,大同區,計,765,423,342
112,3,大安區,女,635,321,314
112,3,大安區,男,479,261,218
112,3,大安區,計,1114,582,532
112,3,文山區,女,1247,685,562
112,3,文山區,男,954,513,441
112,3,文山區,計,2201,1198,1003
112,3,松山區,女,539,299,240
112,3,松山區,男,374,210,164
112,3,松山區,計,913,509,404
112,3,總計,女,9724,5582,4142
112,3,總計,男,7262,4343,2919
112,3,總計,計,16986,9925,7061
112,3,萬華區,女,796,431,365
112,3,萬華區,男,599,324,275
112,3,萬華區,計,1395,755,640
112,4,中山區,女,814,432,382
112,4,中山區,男,570,336,234
112,4,中山區,計,1384,768,616
112,4,中正區,女,398,220,178
112,4,中正區,男,337,200,137
112,4,中正區,計,735,420,315
112,4,信義區,女,665,361,304
112,4,信義區,男,461,264,197
112,4,信義區,計,1126,625,501
112,4,內湖區,女,1443,928,515
112,4,內湖區,男,1074,731,343
112,4,內湖區,計,2517,1659,858
112,4,北投區,女,973,575,398
112,4,北投區,男,722,442,280
112,4,北投區,計,1695,1017,678
112,4,南港區,女,836,576,260
112,4,南港區,男,631,448,183
112,4,南港區,計,1467,1024,443
112,4,士林區,女,957,536,421
112,4,士林區,男,725,418,307
112,4,士林區,計,1682,954,728
112,4,大同區,女,429,225,204
112,4,大同區,男,337,196,141
112,4,大同區,計,766,421,345
112,4,大安區,女,633,320,313
112,4,大安區,男,480,262,218
112,4,大安區,計,1113,582,531
112,4,文山區,女,1245,685,560
112,4,文山區,男,960,515,445
112,4,文山區,計,2205,1200,1005
112,4,松山區,女,536,294,242
112,4,松山區,男,375,209,166
112,4,松山區,計,911,503,408
112,4,總計,女,9725,5585,4140
112,4,總計,男,7273,4348,2925
112,4,總計,計,16998,9933,7065
112,4,萬華區,女,796,433,363
112,4,萬華區,男,601,327,274
112,4,萬華區,計,1397,760,637
112,5,中山區,女,806,429,377
112,5,中山區,男,570,338,232
112,5,中山區,計,1376,767,609
112,5,中正區,女,395,220,175
112,5,中正區,男,335,199,136
112,5,中正區,計,730,419,311
112,5,信義區,女,670,366,304
112,5,信義區,男,462,264,198
112,5,信義區,計,1132,630,502
112,5,內湖區,女,1449,931,518
112,5,內湖區,男,1079,737,342
112,5,內湖區,計,2528,1668,860
112,5,北投區,女,982,578,404
112,5,北投區,男,721,440,281
112,5,北投區,計,1703,1018,685
112,5,南港區,女,837,575,262
112,5,南港區,男,625,442,183
112,5,南港區,計,1462,1017,445
112,5,士林區,女,958,537,421
112,5,士林區,男,727,419,308
112,5,士林區,計,1685,956,729
112,5,大同區,女,427,221,206
112,5,大同區,男,338,195,143
112,5,大同區,計,765,416,349
112,5,大安區,女,635,319,316
112,5,大安區,男,482,264,218
112,5,大安區,計,1117,583,534
112,5,文山區,女,1251,683,568
112,5,文山區,男,966,519,447
112,5,文山區,計,2217,1202,1015
112,5,松山區,女,536,299,237
112,5,松山區,男,377,212,165
112,5,松山區,計,913,511,402
112,5,總計,女,9750,5595,4155
112,5,總計,男,7285,4355,2930
112,5,總計,計,17035,9950,7085
112,5,萬華區,女,804,437,367
112,5,萬華區,男,603,326,277
112,5,萬華區,計,1407,763,644
112,6,中山區,女,813,433,380
112,6,中山區,男,566,336,230
112,6,中山區,計,1379,769,610
112,6,中正區,女,393,216,177
112,6,中正區,男,331,197,134
112,6,中正區,計,724,413,311
112,6,信義區,女,665,359,306
112,6,信義區,男,460,262,198
112,6,信義區,計,1125,621,504
112,6,內湖區,女,1446,931,515
112,6,內湖區,男,1077,734,343
112,6,內湖區,計,2523,1665,858
112,6,北投區,女,980,580,400
112,6,北投區,男,717,439,278
112,6,北投區,計,1697,1019,678
112,6,南港區,女,842,576,266
112,6,南港區,男,630,442,188
112,6,南港區,計,1472,1018,454
112,6,士林區,女,962,539,423
112,6,士林區,男,735,418,317
112,6,士林區,計,1697,957,740
112,6,大同區,女,427,221,206
112,6,大同區,男,334,193,141
112,6,大同區,計,761,414,347
112,6,大安區,女,633,317,316
112,6,大安區,男,482,265,217
112,6,大安區,計,1115,582,533
112,6,文山區,女,1250,682,568
112,6,文山區,男,969,519,450
112,6,文山區,計,2219,1201,1018
112,6,松山區,女,530,293,237
112,6,松山區,男,374,211,163
112,6,松山區,計,904,504,400
112,6,總計,女,9757,5584,4173
112,6,總計,男,7274,4338,2936
112,6,總計,計,17031,9922,7109
112,6,萬華區,女,816,437,379
112,6,萬華區,男,599,322,277
112,6,萬華區,計,1415,759,656
112,7,中山區,女,814,435,379
112,7,中山區,男,568,336,232
112,7,中山區,計,1382,771,611
112,7,中正區,女,390,212,178
112,7,中正區,男,333,196,137
112,7,中正區,計,723,408,315
112,7,信義區,女,663,357,306
112,7,信義區,男,457,260,197
112,7,信義區,計,1120,617,503
112,7,內湖區,女,1447,932,515
112,7,內湖區,男,1071,729,342
112,7,內湖區,計,2518,1661,857
112,7,北投區,女,985,583,402
112,7,北投區,男,721,440,281
112,7,北投區,計,1706,1023,683
112,7,南港區,女,841,578,263
112,7,南港區,男,633,446,187
112,7,南港區,計,1474,1024,450
112,7,士林區,女,961,539,422
112,7,士林區,男,731,416,315
112,7,士林區,計,1692,955,737
112,7,大同區,女,431,222,209
112,7,大同區,男,329,187,142
112,7,大同區,計,760,409,351
112,7,大安區,女,633,317,316
112,7,大安區,男,484,266,218
112,7,大安區,計,1117,583,534
112,7,文山區,女,1249,682,567
112,7,文山區,男,972,521,451
112,7,文山區,計,2221,1203,1018
