year,month,district,gender,total,population_plains,population_mountains
109,5,內湖區,男,1060,728,332
109,5,內湖區,計,2473,1645,828
109,5,北投區,女,947,536,411
109,5,北投區,男,702,434,268
109,5,北投區,計,1649,970,679
109,5,南港區,女,833,565,268
109,5,南港區,男,673,485,188
109,5,南港區,計,1506,1050,456
109,5,士林區,女,977,551,426
109,5,士林區,男,687,397,290
109,5,士林區,計,1664,948,716
109,5,大同區,女,429,250,179
109,5,大同區,男,308,163,145
109,5,大同區,計,737,413,324
109,5,大安區,女,675,346,329
109,5,大安區,男,472,273,199
109,5,大安區,計,1147,619,528
109,5,文山區,女,1273,675,598
109,5,文山區,男,964,529,435
109,5,文山區,計,2237,1204,1033
109,5,松山區,女,560,314,246
109,5,松山區,男,397,225,172
109,5,松山區,計,957,539,418
109,5,總計,女,9876,5637,4239
109,5,總計,男,7248,4362,2886
109,5,總計,計,17124,9999,7125
109,5,萬華區,女,838,434,404
109,5,萬華區,男,619,325,294
109,5,萬華區,計,1457,759,698
109,6,中山區,女,866,459,407
109,6,中山區,男,572,331,241
109,6,中山區,計,1438,790,648
109,6,中正區,女,395,225,170
109,6,中正區,男,343,214,129
109,6,中正區,計,738,439,299
109,6,信義區,女,670,361,309
109,6,信義區,男,454,259,195
109,6,信義區,計,1124,620,504
109,6,內湖區,女,1406,912,494
109,6,內湖區,男,1059,725,334
109,6,內湖區,計,2465,1637,828
109,6,北投區,女,952,538,414
109,6,北投區,男,703,435,268
109,6,北投區,計,1655,973,682
109,6,南港區,女,837,567,270
109,6,南港區,男,673,480,193
109,6,南港區,計,1510,1047,463
109,6,士林區,女,982,555,427
109,6,士林區,男,694,399,295
109,6,士林區,計,1676,954,722
109,6,大同區,女,432,252,180
109,6,大同區,男,310,163,147
109,6,大同區,計,742,415,327
109,6,大安區,女,672,343,329
109,6,大安區,男,474,273,201
109,6,大安區,計,1146,616,530
109,6,文山區,女,1268,675,593
109,6,文山區,男,962,527,435
109,6,文山區,計,2230,1202,1028
109,6,松山區,女,559,314,245
109,6,松山區,男,396,225,171
109,6,松山區,計,955,539,416
109,6,總計,女,9871,5632,4239
109,6,總計,男,7262,4359,2903
109,6,總計,計,17133,9991,7142
109,6,萬華區,女,832,431,401
109,6,萬華區,男,622,328,294
109,6,萬華區,計,1454,759,695
109,7,中山區,女,865,456,409
109,7,中山區,男,573,334,239
109,7,中山區,計,1438,790,648
109,7,中正區,女,397,226,171
109,7,中正區,男,339,212,127
109,7,中正區,計,736,438,298
109,7,信義區,女,670,364,306
109,7,信義區,男,448,257,191
109,7,信義區,計,1118,621,497
109,7,內湖區,女,1409,914,495
109,7,內湖區,男,1052,723,329
109,7,內湖區,計,2461,1637,824
109,7,北投區,女,951,538,413
109,7,北投區,男,707,438,269
109,7,北投區,計,1658,976,682
109,7,南港區,女,833,565,268
109,7,南港區,男,678,482,196
109,7,南港區,計,1511,1047,464
109,7,士林區,女,984,547,437
109,7,士林區,男,696,398,298
109,7,士林區,計,1680,945,735
109,7,大同區,女,429,249,180
109,7,大同區,男,322,169,153
109,7,大同區,計,751,418,333
109,7,大安區,女,671,346,325
109,7,大安區,男,477,273,204
109,7,大安區,計,1148,619,529
109,7,文山區,女,1271,680,591
109,7,文山區,男,961,524,437
109,7,文山區,計,2232,1204,1028
109,7,松山區,女,558,314,244
109,7,松山區,男,394,224,170
109,7,松山區,計,952,538,414
109,7,總計,女,9867,5627,4240
109,7,總計,男,7274,4365,2909
109,7,總計,計,17141,9992,7149
109,7,萬華區,女,829,428,401
109,7,萬華區,男,627,331,296
109,7,萬華區,計,1456,759,697
109,8,中山區,女,861,457,404
109,8,中山區,男,566,327,239
109,8,中山區,計,1427,784,643
109,8,中正區,女,404,229,175
109,8,中正區,男,343,213,130
109,8,中正區,計,747,442,305
109,8,信義區,女,672,365,307
109,8,信義區,男,444,256,188
109,8,信義區,計,1116,621,495
109,8,內湖區,女,1408,911,497
109,8,內湖區,男,1048,722,326
109,8,內湖區,計,2456,1633,823
109,8,北投區,女,954,541,413
109,8,北投區,男,701,438,263
109,8,北投區,計,1655,979,676
109,8,南港區,女,836,567,269
109,8,南港區,男,672,477,195
109,8,南港區,計,1508,1044,464
109,8,士林區,女,986,549,437
109,8,士林區,男,695,396,299
109,8,士林區,計,1681,945,736
109,8,大同區,女,431,248,183
109,8,大同區,男,326,169,157
109,8,大同區,計,757,417,340
109,8,大安區,女,668,343,325
109,8,大安區,男,483,276,207
109,8,大安區,計,1151,619,532
109,8,文山區,女,1261,674,587
109,8,文山區,男,968,524,444
109,8,文山區,計,2229,1198,1031
109,8,松山區,女,556,312,244
109,8,松山區,男,392,221,171
109,8,松山區,計,948,533,415
109,8,總計,女,9856,5623,4233
109,8,總計,男,7262,4349,2913
109,8,總計,計,17118,9972,7146
109,8,萬華區,女,819,427,392
109,8,萬華區,男,624,330,294
109,8,萬華區,計,1443,757,686
109,9,中山區,女,867,459,408
109,9,中山區,男,567,328,239
109,9,中山區,計,1434,787,647
109,9,中正區,女,409,228,181
109,9,中正區,男,345,209,136
109,9,中正區,計,754,437,317
109,9,信義區,女,672,367,305
109,9,信義區,男,446,256,190
109,9,信義區,計,1118,623,495
109,9,內湖區,女,1405,913,492
109,9,內湖區,男,1052,728,324
109,9,內湖區,計,2457,1641,816
109,9,北投區,女,952,541,411
109,9,北投區,男,705,441,264
109,9,北投區,計,1657,982,675
