name,district,address,category,location_desc
新北市政府環境保護局三芝區清潔隊(廚餘場),三芝區,新北市三芝區埔頭段234地號 (原:新小基隆段埔頭坑小段68-2地號_整編),其他,"大門入口正前方,地磅室內"
馬偕醫學院,三芝區,新北市三芝區中正路三段46號,學校、大型集會場所,多功能活動中心
馬偕醫學院,三芝區,新北市三芝區中正路三段46號,學校、大型集會場所,第一教研大樓
新北市三芝區三芝國民小學,三芝區,新北市三芝區育英街22號,學校、大型集會場所,輔導室前走廊
新北市政府警察局淡水分局三芝分駐所,三芝區,新北市三芝區埔頭里育英街27號,公眾服務單位設施,淡水分局三芝分駐所
新北市政府警察局淡水分局後厝派出所,三芝區,新北市三芝區后厝里北勢子45之32號,公眾服務單位設施,淡水分局後厝派出所
新北市三芝區衛生所附設物理治療所,三芝區,新北市三芝區民生街33號1樓,其他,本院大廳
新北市三芝區興華國民小學,三芝區,新北市三芝區興華里田心子5號,學校、大型集會場所,司令台後方穿堂
懷仁國際股份有限公司,三芝區,新北市三芝區圓山里石曹子坑32-4,其他,懷仁聖殿
陽明山國家公園大屯遊客服務站,三芝區,新北市三芝區興華里車埕53-2號,觀光旅遊地區,大屯遊客服務站展示室內
新北市政府警察局淡水分局興華派出所,三芝區,新北市三芝區興華里田心子1號,公眾服務單位設施,鐵馬驛站
交通部觀光局北海岸及觀音山國家風景區管理處-三芝遊客中心,三芝區,新北市三芝區埔坪里埔頭坑164-2號,觀光旅遊地區,1樓大門入口右方處
新北市三芝區橫山國民小學,三芝區,新北市三芝區橫山里86號,學校、大型集會場所,警衛室旁
大屯山二子坪公園(亞洲形上觀音山揹水隊捐贈),三芝區,新北市三芝區 ,其他,大屯山二子坪公園(亞洲形上觀音山揹水隊捐贈)
二子坪遊客中心(面天坪涼亭)-(亞洲形上觀音山揹水隊捐贈),三芝區,新北市三芝區 ,其他,二子坪遊客中心(面天坪涼亭)-(亞洲形上觀音山揹水隊捐贈)
二子坪遊客中心(大屯坪涼亭)-(亞洲形上觀音山揹水隊捐贈),三芝區,新北市三芝區 ,其他,二子坪遊客中心(大屯坪涼亭)-(亞洲形上觀音山揹水隊捐贈)
三芝福成宮,三芝區,新北市三芝區埔頭里中山路一段38號,其他,一樓管理室門口
新北巿三芝區公所,三芝區,新北市三芝區中山路一段32號,其他,一樓
新北市立圖書館三芝分館,三芝區,新北市三芝區民生街31號4樓,大型休閒場所,新北市立圖書館三芝分館4樓
臺灣新北地方法院三重院區,三重區,新北市三重區重新路3段145號,學校、大型集會場所,一樓大廳
新北市三重區三光國民小學,三重區,新北市三重區大同南路157號,學校、大型集會場所,警衛室
新北市三重區光興國民小學,三重區,新北市三重區正義南路62號,學校、大型集會場所,光興國小
新北市三重區社教館,三重區,新北市三重區集美街60號,其他,社教館一樓展覽廳
天台戲院股份有限公司,三重區,新北市三重區重新路2段78號4樓,大型休閒場所,4樓售票處前方
新北市立二重國民中學,三重區,新北市三重區忠孝路三段89號,學校、大型集會場所,警衛室
新北市三重區修德國民小學,三重區,新北市三重區重陽路三段3號,學校、大型集會場所,警衛室
新北市三重戶政事務所,三重區,新北市三重區新北大道一段9號5樓,其他,5樓
新北市三重區衛生所,三重區,新北市三重區新北大道一段1號,其他,1樓寫字台旁
新北市三重區二重國民小學,三重區,新北市三重區大有街10號,學校、大型集會場所,健康中心走廊
新北市立三重幼兒園,三重區,新北市三重區新北大道一段9號2樓,其他,幼兒園辦公室2樓
維德文理語文短期補習班國小部,三重區,新北市三重區忠孝路一段119號,學校、大型集會場所,補習班場所大廳
新北市環境保護局 三重區清潔隊 重新橋下保養場,三重區,新北市三重區重新路四段臨121號,其他,保養場-警衛室
新北市立圖書館三重南區分館,三重區,新北市三重區重安街70號三樓,大型休閒場所,三重南區分館
慈濟三重園區靜思堂,三重區,新北市三重區中正北路450號,其他,大門進入後，左邊諮詢台後方
厚德國民小學地下停車場,三重區,新北市三重區忠孝路一段70號B1,學校、大型集會場所,停車場管理室
龍門公園地下停車場,三重區,新北市三重區公園街32號,其他,停車場管理室
300壯士跨時代健身中心(三重店),三重區,新北市三重區正義北路154號B1,學校、大型集會場所,健身房入口處
新北市私立格致高級中學,三重區,新北市三重區大智街260號,學校、大型集會場所,教官室外
新北市三重區公所,三重區,新北市三重區新北大道一段11號,其他,三重區公所10樓
新北市三重區公所,三重區,新北市三重區新北大道一段11號,其他,三重區公所1樓
新北市三重地政事務所,三重區,新北市三重區新北大道一段11號8樓,其他,行政大樓8樓
新北市三重區興穀國民小學,三重區,新北市三重區神農街 101號,學校、大型集會場所,大門警衛室
家福股份有限公司蘆洲分公司,三重區,新北市三重區五華街282號3樓,大型購物場所,3樓上4樓手扶梯前
新北市三重區集美國民小學,三重區,新北市三重區集美街10號,學校、大型集會場所,健康中心門口走廊邊
桃園捷運A2三重站,三重區,新北市三重區捷運路36號,交通要衝,穿堂層詢問處附近(非付費區)
新北市三重區重新公有零售市場,三重區,新北市三重區重新路一段87-6號,其他,市場1樓後門旁
玉山商業銀行股份有限公司(希望大樓),三重區,新北市三重區中興北街42巷17弄10號,其他,進大門後右手邊。
臺北捷運台北橋站O13,三重區,新北市三重區重新路一段108號B1,交通要衝,詢問處右方樑柱旁
臺北捷運菜寮站O14,三重區,新北市三重區重新路三段150號B1,交通要衝,詢問處右後方通道靠牆面
臺北捷運三重站O15,三重區,新北市三重區捷運路36號B1,交通要衝,詢問處左後方通道靠牆轉角處
臺北捷運先嗇宮站O16,三重區,新北市三重區重新路五段515號B1,交通要衝,詢問處右後方通道靠牆面
臺北捷運三重國小站O50,三重區,新北市三重區三和路三段5號,交通要衝,車站大廳詢問處旁
臺北捷運三和國中站O51,三重區,新北市三重區三和路四段107號,交通要衝,車站大廳詢問處旁
