機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
佳合護理之家,A30200072,A3,新北市,板橋區,新北市板橋區江寧路3段29號3樓、29號4樓、39號3樓及39號4樓,121.4710922241,25.0317306519,B,喘息服務
佳新護理之家,A30200021,A3,新北市,新莊區,新北市新莊區復興路三段31號1-4樓及33號3-4樓,121.4611434937,25.0445804596,B,喘息服務
佳藥長照藥局,B30200020,B3,新北市,淡水區,新北市淡水區學府路75號1樓,121.4483795166,25.1699790955,A,個案管理服務
佳藥長照藥局,B30200020,B3,新北市,淡水區,新北市淡水區學府路75號1樓,121.4483795166,25.1699790955,B,專業照護服務
佳醫護理之家,A30200008,A3,新北市,汐止區,新北市汐止區茄苳路296號1-6樓,121.6730270386,25.0670490265,A,個案管理服務
佳醫護理之家,A30200008,A3,新北市,汐止區,新北市汐止區茄苳路296號1-6樓,121.6730270386,25.0670490265,B,喘息服務;日間照顧服務
佳醫長照社團法人附設新北市私立觀海住宿長照機構,3R0200004,3,新北市,八里區,新北市八里區頂罟里新北市八里區博物館路183號1樓至4樓,121.4063720703,25.1566429138,B,喘息服務
健康啟動管理顧問有限公司附設新北市私立穩健居家長照機構,1V0200118,1,新北市,五股區,新北市五股區登林路96號6樓,121.4284515381,25.069852829,B,居家服務;喘息服務
健綸居家護理所,B10200004,B1,新北市,板橋區,新北市板橋區溪福里金門街372巷14號,121.4269561768,24.9843349457,B,專業照護服務
億家人股份有限公司附設新北市私立億家人居家長照機構,1V0200096,1,新北市,新莊區,新北市新莊區立德里中華路一段63巷26號1樓,121.4507217407,25.0395145416,B,居家服務;喘息服務
優居家長照有限公司附設新北市私立優居家長照機構,1V0200064,1,新北市,中和區,新北市中和區員山路109號13樓,121.480796814,24.9946479797,B,專業照護服務;喘息服務;居家服務
優遊小客車租賃有限公司,BA0200012,BA,新北市,新莊區,新北市新莊區中正路700之16號,121.4181518555,25.027759552,B,交通接送服務
允馨居家長照有限公司附設新北市私立允馨居家長照機構,1V0200052,1,新北市,淡水區,新北市淡水區學府里英專路226號1樓,121.4496994019,25.1731472015,B,喘息服務;居家服務
元復醫院附設護理之家,A30200054,A3,新北市,土城區,新北市土城區慶樂街25號1、2、3樓,121.4391326904,24.9727344513,B,喘息服務
元荷國際貿易有限公司附設新北市私立元荷居家長照機構,1R0200076,1,新北市,板橋區,新北市板橋區中山路一段293-1號7樓之1(701室),121.4585189819,25.012298584,B,居家服務;喘息服務
兆興護理之家,A30200077,A3,新北市,三重區,新北市三重區中興北街19巷2號1-3樓,121.4701461792,25.0462684631,B,喘息服務
光慈全人關懷股份有限公司附設新北市私立東昇社區長照機構,2V0200008,2,新北市,新店區,新北市新店區江陵里中正路500號1樓,121.5342636108,24.9823894501,B,日間照顧服務;喘息服務
光田里陪伴站(社照C),BF0200054,BF,新北市,三重區,新北市三重區光田里光田里中華路5號,121.4833984375,25.0602226257,C,巷弄長照站
全人健康管理顧問有限公司附設新北市私立維愛居家長照機構,1R0200050,1,新北市,土城區,新北市土城區青雲路163號8樓,121.445350647,24.9858093262,B,居家服務;喘息服務
全人居家護理所,B10200085,B1,新北市,汐止區,新北市汐止區長興街二段60號2樓之1,121.6746444702,25.0817947388,B,專業照護服務;居家失能個案家庭醫師照護服務
全備聖恩健康福祉股份有限公司附設新北市私立愛加倍居家長照機構,1X0200146,1,新北市,汐止區,新北市汐止區新台五路一段159號13樓之10,121.6537857056,25.0624866486,B,喘息服務;居家服務
全能居家長照有限公司附設新北市私立全能居家長照機構,1V0200025,1,新北市,新莊區,新北市新莊區民安里民安西路38巷19號,121.4267578125,25.0205574036,B,居家服務;喘息服務
全醫好健康有限公司附設新北市私立十全居家長照機構,1V0200116,1,新北市,蘆洲區,新北市蘆洲區中山一路161號3樓R11室,121.475479126,25.0814914703,B,專業照護服務;喘息服務;居家服務
八里佳醫護理之家,A30200015,A3,新北市,八里區,新北市八里區觀海大道185號、185號2樓、185號2樓之1,121.4212341309,25.1623306274,B,喘息服務
六合社區發展協會(社照C),BF0200009,BF,新北市,三重區,新北市三重區六合里自強路2段50巷22號,121.4882583618,25.0691623688,C,巷弄長照站
利鎮物業管理顧問有限公司附設新北市私立利鎮居家長照機構,1R0200038,1,新北市,汐止區,新北市汐止區福安里仁愛路193號1樓,121.6644821167,25.0656604767,B,居家服務;喘息服務
利鎮物業管理顧問有限公司附設新北市私立淡水義山綜合長照機構,4R0200004,4,新北市,淡水區,新北市淡水區奎柔山路3號1樓,121.4499664307,25.2068138123,B,喘息服務;日間照顧服務;居家服務
利鎮物業管理顧問有限公司附設新北市私立淡水義山綜合長照機構-淡水義山據點(醫事C),4V0200008,4,新北市,淡水區,新北市淡水區義山里奎柔山路3號1樓,121.4499664307,25.2068138123,B,喘息服務
力健復健科診所(醫事C),B20200078,B2,新北市,汐止區,新北市汐止區智慧里大同路2段265號1樓,121.653213501,25.0661964417,C,巷弄長照站
勇健居家職能治療所,B50200010,B5,新北市,永和區,新北市永和區仁愛路202巷34號1樓,121.5089645386,25.0132064819,B,專業照護服務(CC01);專業照護服務
勝安租賃有限公司,BA0200023,BA,新北市,新莊區,新北市新莊區新北大道二段187號,121.4637298584,25.0607852936,B,交通接送服務
勝安租賃有限公司,BA0200035,BA,新北市,新莊區,新北市新莊區新北大道二段187號,121.4637298584,25.0607852936,B,交通接送服務(DA01)
北台灣無障礙運輸產業工會,BA0200007,BA,新北市,中和區,新北市中和區連勝街159號5樓,121.4942245483,24.9965553284,B,交通接送服務(DA01);交通接送服務
北醫大管理顧問股份有限公司附設新北市私立萂禾居家長照機構,1V0200030,1,新北市,中和區,新北市中和區景新街347號9樓之9,121.5120544434,24.9909801483,B,居家服務;喘息服務
匯安護理之家,A30200005,A3,新北市,新店區,新北市新店區寶興路37號2樓、3樓、3樓之1,121.5492019653,24.9742774963,B,喘息服務
十全外科婦產科診所,B20200174,B2,新北市,中和區,新北市中和區景新街413號,121.5127792358,24.9895114899,B,居家失能個案家庭醫師照護服務
千歲小兒科診所,B20200091,B2,新北市,樹林區,新北市樹林區千歲街47號1樓,121.4254074097,24.9963874817,B,居家失能個案家庭醫師照護服務
千田照服股份有限公司附設新北市私立千田社區長照機構,2R0200032,2,新北市,土城區,新北市土城區金城路二段209號3樓、209之1號3樓,121.4543838501,24.9818916321,B,喘息服務;日間照顧服務
南丁格爾居家護理所,B10200089,B1,新北市,汐止區,新北市汐止區大同路三段423號,121.6777191162,25.071680069,B,專業照護服務
博思診所,B20200222,B2,新北市,林口區,新北市林口區中正路20號1樓,121.3960571289,25.0775318146,B,居家失能個案家庭醫師照護服務
博森健康有限公司附設新北市私立博森居家長照機構,1V0200075,1,新北市,新店區,新北市新店區百忍里三民路84巷2號1樓,121.5346679688,24.9727325439,B,喘息服務;居家服務
博樂健康股份有限公司附設新北市私立博樂居家長照機構,1V0200013,1,新北市,新莊區,新北市新莊區中華里中安街9號4樓,121.4529800415,25.0455226898,A,個案管理服務
博樂健康股份有限公司附設新北市私立博樂居家長照機構,1V0200013,1,新北市,新莊區,新北市新莊區中華里中安街9號4樓,121.4529800415,25.0455226898,B,喘息服務;居家服務
友伴瑞智居家職能治療所,B50200015,B5,新北市,新莊區,新北市新莊區立言里新泰路253號2樓,121.4214935303,25.0253047943,B,專業照護服務(CC01);專業照護服務
双慈護理之家,A30200066,A3,新北市,中和區,新北市中和區中正路909號8、9樓,121.4835586548,25.006444931,B,喘息服務
古淶稀健康股份有限公司附設新北市私立三峽古淶稀社區長照機構,2R0200006,2,新北市,三峽區,新北市三峽區復興路56、58號2樓,121.374382019,24.9362163544,B,喘息服務;日間照顧服務
可馨居家護理所-樹林區(醫事C),B10200096,B1,新北市,樹林區,新北市樹林區圳福里千歲街61巷12弄28號,121.4279022217,25.199426651,C,巷弄長照站
台灣全齡長照股份有限公司附設新北市私立禾薪居家長照機構,1V0200051,1,新北市,新莊區,新北市新莊區文明里新莊路16之2號1樓,121.4588775635,25.0375823975,B,喘息服務;居家服務
台灣受恩整合服務股份有限公司附設新北市私立三重受恩社區長照機構,2R0200007,2,新北市,三重區,新北市三重區光華里重新路一段87號2樓,121.5012283325,25.0635929108,B,喘息服務;日間照顧服務
台灣受恩整合服務股份有限公司附設新北市私立受恩居家長照機構,1V0200006,1,新北市,永和區,新北市永和區得和路103號3樓,121.5146102905,25.0109806061,A,個案管理服務
台灣受恩整合服務股份有限公司附設新北市私立受恩居家長照機構,1V0200006,1,新北市,永和區,新北市永和區得和路103號3樓,121.5146102905,25.0109806061,B,居家服務;喘息服務
台灣受恩整合服務股份有限公司附設新北市私立受恩居家長照機構-三重光華據點(醫事C),1V0200134,1,新北市,三重區,新北市三重區光華里重新路一段87號1樓,121.5012283325,25.0635929108,B,喘息服務
台灣在地安老推展協會(淡水埤島站)(社照C),BF0200169,BF,新北市,淡水區,新北市淡水區埤島里埤島7-5號,121.4455337524,25.1928501129,C,巷弄長照站
台灣基督徒見證協會(社照C),BG0200029,BG,新北市,淡水區,新北市淡水區學府路36號4樓,121.4482192993,25.1687812805,C,巷弄長照站
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,B20200009,B2,新北市,淡水區,新北市淡水區民生里民生路45號,121.4618148804,25.1389274597,A,個案管理服務
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,B20200009,B2,新北市,淡水區,新北市淡水區民生里民生路45號,121.4618148804,25.1389274597,B,專業照護服務
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院八里區龍源里(醫事C),B20200055,B2,新北市,八里區,新北市八里區龍源里龍米路一段223-1號,121.4509277344,25.1319465637,C,巷弄長照站
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院淡水區油車里(醫事C),B20200047,B2,新北市,淡水區,新北市淡水區油車里淡海路32號,121.4230957031,25.1815643311,C,巷弄長照站
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院淡水區竹圍里(醫事C),B20200048,B2,新北市,淡水區,新北市淡水區竹圍里民族路31號,121.4610977173,25.1368103027,C,巷弄長照站
台灣基督長老教會馬偕醫療財團法人附設新北市私立三重台北橋社區長照機構,2S0200013,2,新北市,三重區,新北市三重區仁德里重新路一段108號2樓,121.5009307861,25.0630474091,B,日間照顧服務;喘息服務
台灣基督長老教會馬偕醫療財團法人附設新北市私立淡水北海岸社區長照機構,2S0200010,2,新北市,淡水區,新北市淡水區沙崙里沙崙路300號,121.4275588989,25.1871395111,B,日間照顧服務;喘息服務
台灣居護股份有限公司附設新北市私立樹林叁角梅社區長照機構,2R0200010,2,新北市,樹林區,新北市樹林區樹新路40之7號2樓,121.4285202026,24.9961395264,B,日間照顧服務;喘息服務
台灣居護股份有限公司附設新北市私立聯和居家長照機構,1R0200065,1,新北市,中和區,新北市中和區景安路65號2樓,121.4760284424,25.0235729218,B,喘息服務;居家服務
台灣居護股份有限公司附設新北市私立聯宜居家長照機構,1R0200068,1,新北市,樹林區,新北市樹林區樹興里啟智街80巷5號1樓,121.4192657471,24.9920768738,B,居家服務;喘息服務
台灣居護股份有限公司附設新北市私立聯承居家式服務類長期照顧服務機構,1V0200015,1,新北市,板橋區,新北市板橋區永安里萬板路182號1樓,121.4760284424,25.0235729218,A,個案管理服務
台灣居護股份有限公司附設新北市私立聯承居家式服務類長期照顧服務機構,1V0200015,1,新北市,板橋區,新北市板橋區永安里萬板路182號1樓,121.4760284424,25.0235729218,B,居家服務;喘息服務
台灣智慧自立樂活協會(社照C),BF0200316,BF,新北市,中和區,新北市中和區嘉穗里民利街49巷4號,121.4795837402,24.9985122681,C,巷弄長照站
台灣樂活社區福田公益協會,BF0200331,BF,新北市,三重區,新北市三重區福田里自由街18巷13號1樓,121.4792022705,25.0664653778,C,巷弄長照站
台灣環保協會(社照C),BF0200200,BF,新北市,蘆洲區,新北市蘆洲區溪墘里信義路65號,121.4760513306,25.0795707703,C,巷弄長照站
台灣真善美居服股份有限公司附設新北市私立真善美居家長照機構,1V0200004,1,新北市,板橋區,新北市板橋區民生路一段3號16樓之3(H室),121.4620285034,25.0154628754,A,個案管理服務
台灣社會福利及社會工作發展協會附設新北市私立有伴社區長照機構,2N0200003,2,新北市,板橋區,新北市板橋區大觀路三段236號2樓,121.4297943115,24.992225647,B,喘息服務;日間照顧服務
台灣福祉車租賃有限公司,BA0200032,BA,新北市,新莊區,新北市新莊區新泰路502巷6號2樓,121.4427642822,25.0463123322,B,交通接送服務(DA01);社區式交通接送服務(BD03)
台灣福祉車租賃有限公司,BA0200038,BA,新北市,新莊區,新北市新莊區新泰路502巷6號2樓,121.4427642822,25.0463123322,B,交通接送服務(DA01)
台灣頤樂園有限公司附設新北市私立熊大心居家長照機構,1V0200079,1,新北市,新莊區,新北市新莊區中原里新北大道四段171號2樓(YS-206室),121.44581604,25.058631897,B,喘息服務;居家服務
合力旺健康事業股份有限公司附設新北市私立合力旺居家長照機構,1V0200097,1,新北市,瑞芳區,新北市瑞芳區岳王路10之4號1樓,121.8074951172,25.1109256744,B,居家服務;喘息服務
吉雅健康股份有限公司附設新北市私立樂心居家長照機構,1R0200061,1,新北市,永和區,新北市永和區福和路159號3樓,121.520401001,25.0076236725,B,居家服務;喘息服務
